County,Year,Oil (BBL),Casinghead (MCF),GW Gas (MCF),Gas (MCF),Condensate (BBL),Liquids (BBL),GOR (MCF/BBL Oil),GLR (MCF/BBL Liquids)
Howard,2020,96917331,187258108,156084,187414192,2381,96919712,1.9337531282201736,1.9337056222370945
Howard,2021,111563435,232692873,188981,232881854,1824,111565259,2.087438899671743,2.0874047717668094
Howard,2022,129435224,295903361,147834,296051195,1480,129436704,2.287253699966556,2.287227547141497
Howard,2023,141311535,369938840,153468,370092308,1783,141313318,2.618981585615074,2.618948541000219
Howard,2024,114580489,396764594,124222,396888816,1298,114581787,3.4638429235539396,3.463803684611761
Howard,2025,98593299,425523287,479336,426002623,2175,98595474,4.320807066208425,4.320711749912578
Howard,2026,19468931,102481134,261648,102742782,1534,19470465,5.277268793032345,5.276853018148257
Loving,2020,83090941,182165689,237683391,419849080,51881360,134972301,5.052886330893761,3.1106314176269394
Loving,2021,80397811,182499410,264367667,446867077,53634101,134031912,5.558199550980312,3.3340349349041594
Loving,2022,88026773,199997310,301480488,501477798,61127940,149154713,5.696878130475145,3.3621317618035977
Loving,2023,98259575,224385594,322788234,547173828,61013886,159273461,5.568656571128056,3.4354362902932083
Loving,2024,109956652,274426313,372394746,646821059,66639834,176596486,5.882509582048751,3.662706283974416
Loving,2025,113754349,306161425,395882664,702044089,63765227,177519576,6.171580209210287,3.954741808306257
Loving,2026,27920921,78680192,93833510,172513702,14643394,42564315,6.178653705585142,4.053012529392285
Martin,2020,146125413,293836738,6640,293843378,35,146125448,2.0108985286494963,2.010898046998631
Martin,2021,166478333,344659803,2558,344662361,53,166478386,2.0703136245363534,2.070312965432041
Martin,2022,189378813,440649905,5614,440655519,82,189378895,2.326846979445372,2.326845971933673
Martin,2023,222100313,542465697,7898,542473595,58,222100371,2.442471096382471,2.4424704585477706
Martin,2024,250902498,657681333,3846083,661527416,782522,251685020,2.636591589454801,2.6283940776451455
Martin,2025,258327294,745702935,4026511,749729446,416014,258743308,2.9022463495475628,2.897580044852793
Martin,2026,63987182,192882629,620065,193502694,64326,64051508,3.024085261326245,3.021048216382353
Midland,2020,191675933,546016419,3786184,549802603,68507,191744440,2.8683966442464115,2.867371815318348
Midland,2021,199143122,627583016,3385684,630968700,69577,199212699,3.168418239420792,3.1673116380999384
Midland,2022,221678081,716929336,3084609,720013945,63259,221741340,3.2480159596834475,3.2470893564546874
Midland,2023,234518111,826221212,2859384,829080596,59219,234577330,3.5352518936160116,3.534359419983167
Midland,2024,234762267,912833128,2441123,915274251,50801,234813068,3.89872811630329,3.8978846398787312
Midland,2025,241692085,977174118,5430136,982604254,764880,242456965,4.0655210285434045,4.052695512376805
Midland,2026,56001653,231108585,1512222,232620807,188718,56190371,4.153820370266571,4.139869569467694
Reeves,2020,91717953,251242158,814436774,1065678932,96649013,188366966,11.619087617448244,5.6574618927609635
Reeves,2021,76824850,227742695,814690110,1042432805,94428555,171253405,13.568953339967472,6.087077830656856
Reeves,2022,75065576,224155887,866173637,1090329524,97333495,172399071,14.525027077658073,6.3244512727101645
Reeves,2023,80971027,240140942,895699531,1135840473,99730617,180701644,14.027739490077112,6.285722962210571
Reeves,2024,83690822,251439427,907175755,1158615182,101470651,185161473,13.843993335374337,6.257323206755868
Reeves,2025,81982383,254880809,963989686,1218870495,97872093,179854476,14.867468477953366,6.77698171381623
Reeves,2026,18493518,62019660,223764601,285784261,22559159,41052677,15.45321236338051,6.9614037837288905
