Date,Oil (BBL),Casinghead (MCF),GW Gas (MCF),Condensate (BBL),Gas (MCF),County,Year,Liquids (BBL),GOR (MCF/BBL Oil),GLR (MCF/BBL Liquids)
2020-01-01,17030249,41328706,321266,6888,41649972,Midland,2020,17037137,2.4456466843203524,2.4446579258005614
2020-02-01,15772319,38415798,312327,6636,38728125,Midland,2020,15778955,2.45544900531114,2.4544163412596083
2020-03-01,17266683,44144100,370431,7230,44514531,Midland,2020,17273913,2.5780592022219904,2.5769801549886235
2020-04-01,15963725,43160681,339924,6056,43500605,Midland,2020,15969781,2.7249658209471788,2.7239324697063787
2020-05-01,14639625,40822467,337548,5265,41160015,Midland,2020,14644890,2.8115484515484517,2.810537668770472
2020-06-01,15936333,43309365,300023,4791,43609388,Midland,2020,15941124,2.736475699899092,2.735653270120727
2020-07-01,16656274,48469586,315319,4996,48784905,Midland,2020,16661270,2.928920657765356,2.928042400129162
2020-08-01,16088773,49640294,327945,5572,49968239,Midland,2020,16094345,3.1057830824016226,3.104707833714264
2020-09-01,15105744,48817628,304174,5215,49121802,Midland,2020,15110959,3.2518624703291676,3.2507402078187098
2020-10-01,15536200,49882520,296650,5165,50179170,Midland,2020,15541365,3.229822607844904,3.2287492121830996
2020-11-01,15360769,47967512,273196,4596,48240708,Midland,2020,15365365,3.1405138635962824,3.1395744910713153
2020-12-01,16319239,50057762,287381,6097,50345143,Midland,2020,16325336,3.0850178124114733,3.083865655199991
2021-01-01,16387771,50366003,260263,5204,50626266,Midland,2021,16392975,3.089271018004828,3.0882903194813633
2021-02-01,12020070,34068713,205456,4195,34274169,Midland,2021,12024265,2.8514117638250025,2.8504169693532204
2021-03-01,17963436,50396144,307078,5807,50703222,Midland,2021,17969243,2.8225792660157,2.821667111964594
2021-04-01,16573858,51328346,303272,6118,51631618,Midland,2021,16579976,3.115244380638473,3.1140948575558856
2021-05-01,17014976,54367558,303031,6653,54670589,Midland,2021,17021629,3.2130864598339723,3.2118306068120743
2021-06-01,16103431,52536831,272736,6097,52809567,Midland,2021,16109528,3.2793984710463255,3.278157311623283
2021-07-01,16571998,55581941,299071,6121,55881012,Midland,2021,16578119,3.372014165099465,3.370769144557353
2021-08-01,16657446,55471810,292285,6277,55764095,Midland,2021,16663723,3.3476977803199843,3.3464367476583714
2021-09-01,15971241,53620799,284765,4920,53905564,Midland,2021,15976161,3.3751643970559333,3.374124985345353
2021-10-01,17525957,55836228,293483,5575,56129711,Midland,2021,17531532,3.2026616863204675,3.2016432448687313
2021-11-01,17718771,55591702,286335,6320,55878037,Midland,2021,17725091,3.153606816183809,3.152482376536177
2021-12-01,18634167,58416941,277909,6290,58694850,Midland,2021,18640457,3.1498510236599255,3.148788143981663
2022-01-01,17874265,55908770,297714,6232,56206484,Midland,2022,17880497,3.1445479856094782,3.143451996888006
2022-02-01,15566902,48858891,240974,5279,49099865,Midland,2022,15572181,3.154119233229579,3.153049980603231
2022-03-01,18348557,58445699,270509,5729,58716208,Midland,2022,18354286,3.2000449953639407,3.19904615194511
2022-04-01,17981225,56822878,263707,6425,57086585,Midland,2022,17987650,3.1747884251490097,3.173654424007583
2022-05-01,18267524,58961332,278714,5344,59240046,Midland,2022,18272868,3.24291600766475,3.2419675991749077
2022-06-01,18175991,58198941,245013,4242,58443954,Midland,2022,18180233,3.215448005008365,3.2146977434227604
2022-07-01,18710102,61101484,263543,4654,61365027,Midland,2022,18714756,3.2797804629819765,3.2789648446391713
2022-08-01,19224427,62801081,273784,5739,63074865,Midland,2022,19230166,3.280975032441799,3.2799958669103533
2022-09-01,18776788,62180516,258747,4839,62439263,Midland,2022,18781627,3.325343131104212,3.32448637170784
2022-10-01,20193868,66004326,241653,4635,66245979,Midland,2022,20198503,3.2804997536876046,3.2797469693669874
2022-11-01,19516249,63814421,226332,4974,64040753,Midland,2022,19521223,3.2814068420627347,3.280570740880323
2022-12-01,19042183,63830997,223919,5167,64054916,Midland,2022,19047350,3.363843105593513,3.3629305913946035
2023-01-01,18970868,64308792,203507,4943,64512299,Midland,2023,18975811,3.4005981697832697,3.39971234958021
2023-02-01,17239767,58402371,187385,3892,58589756,Midland,2023,17243659,3.398523657541311,3.39775658982818
2023-03-01,19545034,67498440,244432,4678,67742872,Midland,2023,19549712,3.465988956580991,3.465159589051747
2023-04-01,19170247,66727883,241859,5222,66969742,Midland,2023,19175469,3.493420924623454,3.492469571409179
2023-05-01,20270076,70481846,254774,4956,70736620,Midland,2023,20275032,3.4897066986823333,3.4888536797377188
2023-06-01,19924223,68258240,243081,4321,68501321,Midland,2023,19928544,3.4380924666422374,3.4373470033736533
2023-07-01,21304745,72007195,277641,5231,72284836,Midland,2023,21309976,3.392898436475067,3.392065575296753
2023-08-01,20376909,72844755,249406,4744,73094161,Midland,2023,20381653,3.58710739690696,3.5862724676943523
2023-09-01,18210223,68983836,267487,5498,69251323,Midland,2023,18215721,3.802881656089549,3.801733842981016
2023-10-01,19608647,71648302,271652,5654,71919954,Midland,2023,19614301,3.6677672865445534,3.6667100193884044
2023-11-01,19493072,70939200,213100,5126,71152300,Midland,2023,19498198,3.6501327240775594,3.64917311845946
2023-12-01,20404300,74120352,205060,4954,74325412,Midland,2023,20409254,3.6426347387560467,3.6417505510000514
2024-01-01,19080048,70120042,209527,5619,70329569,Midland,2024,19085667,3.686026838087619,3.684941637093427
2024-02-01,18376058,68815516,210857,4694,69026373,Midland,2024,18380752,3.7563210238017315,3.7553617501612555
2024-03-01,19523234,75092836,228868,4454,75321704,Midland,2024,19527688,3.858054664508964,3.8571746947206447
2024-04-01,18718151,73131634,218101,3854,73349735,Midland,2024,18722005,3.918642124427781,3.9178354561917916
2024-05-01,18754389,74156061,225151,4612,74381212,Midland,2024,18759001,3.9660695957623573,3.965094516493709
2024-06-01,19084615,74129085,190933,3516,74320018,Midland,2024,19088131,3.894237216731907,3.8935199051180023
2024-07-01,19742451,77870894,171202,2872,78042096,Midland,2024,19745323,3.9530094819533805,3.9524345081617556
2024-08-01,19857608,79309552,221027,4571,79530579,Midland,2024,19862179,4.00504325596517,4.004121551819667
2024-09-01,19219785,77575372,183537,3786,77758909,Midland,2024,19223571,4.045774133269441,4.04497733537645
2024-10-01,21060449,81754558,212378,4654,81966936,Midland,2024,21065103,3.8919842592149863,3.891124387096517
2024-11-01,20512265,79102023,183652,4069,79285675,Midland,2024,20516334,3.865281332900097,3.8645147325053295
2024-12-01,20833214,81775555,185890,4100,81961445,Midland,2024,20837314,3.9341718949366142,3.9333977978159758
