County,Rank,Field Name,Oil (BBL),Gas (MCF),Condensate (BBL),Oil Share (%)
Midland,1,SPRABERRY (TREND AREA),1119241146,3628915534,8176,81.13551800208157
Midland,2,SPRABERRY (TREND AREA) R 40 EXC,129676142,787274092,2046,9.400423663196426
Midland,3,PARKS (CONSOLIDATED),108221412,294759617,70476,7.845137174341057
Midland,4,PEGASUS (CONSOLIDATED),14920092,87644426,2255,1.0815804953070525
Midland,5,EMMA (BARNETT SHALE),1562968,11774484,903748,0.11330196245365468
Martin,1,SPRABERRY (TREND AREA),1254792046,3099574753,0,96.72336352069527
Martin,2,SPRABERRY (TREND AREA) R 40 EXC,26109286,63096584,0,2.012586841854909
Martin,3,EMMA (BARNETT SHALE),12070196,55546182,1262789,0.9304091137616615
Martin,4,LOWE (ATOKA),723072,3780786,0,0.05573669049830443
Martin,5,KIVA (DEV),679814,2505165,0,0.05240222621594299
Howard,1,SPRABERRY (TREND AREA),692121345,1994038708,4050,97.22577265078101
Howard,2,HOWARD GLASSCOCK (CONSOLIDATED),8418503,750308,0,1.1825895338308312
Howard,3,SPRABERRY (TREND AREA) R 40 EXC,5520063,10875046,0,0.7754310629677057
Howard,4,"IATAN, EAST HOWARD",2454419,74160,0,0.3447846037514668
Howard,5,SNYDER,811506,0,0,0.11399633666946754
Reeves,1,WOLFBONE (TREND AREA),202414450,540845340,817623,39.78692681119152
Reeves,2,PHANTOM (WOLFCAMP),188233940,4871827261,548344159,36.99958176979072
Reeves,3,HOEFS T-K (WOLFCAMP),83260928,258325685,59023,16.365908899131888
Reeves,4,SANDBAR (BONE SPRING),30205176,141605619,14377839,5.937180506782784
Reeves,5,TWO GEORGES (BONE SPRING),2120915,8703798,0,0.41689064134382825
Loving,1,PHANTOM (WOLFCAMP),503413214,2638064176,272198482,83.70590890772806
Loving,2,SANDBAR (BONE SPRING),63968879,682263323,100305153,10.636536764613966
Loving,3,TWO GEORGES (BONE SPRING),31826281,86741805,0,5.291970302268935
Loving,4,GRICE (DELAWARE),478622,679087,0,0.07958370662323261
Loving,5,MOORE-HOOPER (WLFCMP\PENN CONS),474529,2544938,6693,0.0789031359198197
