County,Rank,Operator Name,Oil (BBL),Gas (MCF),Condensate (BBL),Oil Share (%)
Midland,1,"PIONEER NATURAL RES. USA, INC.",461756167,1573697233,63571,33.47341717564115
Midland,2,ENDEAVOR ENERGY RESOURCES L.P.,151813457,437944654,35429,11.00519179213747
Midland,3,XTO ENERGY INC.,144255030,698852985,68304,10.457269753962223
Midland,4,CHEVRON U. S. A. INC.,114741932,359035478,5096,8.317819732281018
Midland,5,DIAMONDBACK E&P LLC,111512115,469461067,4366,8.08368531336382
Midland,6,COG OPERATING LLC,80378990,270902918,2705,5.8267970342596165
Midland,7,APACHE CORPORATION,59634834,186858394,30920,4.323021151295438
Midland,8,OVINTIV USA INC.,45012707,235748375,6388,3.2630405986887503
Midland,9,"CROWNQUEST OPERATING, LLC",36465637,139906375,6696,2.64345030366751
Midland,10,"PERMIAN DEEP ROCK OIL CO., LLC",32774650,70023183,0,2.3758849597251337
Martin,1,DIAMONDBACK E&P LLC,370960754,922098212,0,28.59483527603841
Martin,2,"PIONEER NATURAL RES. USA, INC.",252522475,575879247,0,19.465235872694304
Martin,3,ENDEAVOR ENERGY RESOURCES L.P.,122061636,294678846,301,9.408899290041232
Martin,4,OVINTIV USA INC.,93679011,263253632,0,7.221076244543083
Martin,5,XTO ENERGY INC.,90302576,311822207,0,6.960809891285534
Martin,6,COG OPERATING LLC,44042125,80698336,0,3.3949071323639086
Martin,7,SM ENERGY COMPANY,41527038,106521266,0,3.2010362236642087
Martin,8,"BIRCH OPERATIONS, INC.",35225124,120148799,0,2.7152646405232055
Martin,9,OCCIDENTAL PERMIAN LTD.,32453532,100165306,1262789,2.5016215102518404
Martin,10,"CROWNQUEST OPERATING, LLC",30896801,100234531,0,2.3816237314191433
Howard,1,SM ENERGY COMPANY,100728527,323288757,2400,14.149843717867213
Howard,2,"SURGE OPERATING, LLC",85866772,272535646,0,12.062138110663886
Howard,3,"BIRCH OPERATIONS, INC.",64075401,258622387,0,9.00099442841721
Howard,4,"HIGHPEAK ENERGY HOLDINGS, LLC",59022499,94406192,2189,8.291187824954234
Howard,5,OVINTIV USA INC.,58785297,141817014,0,8.2578668648496
Howard,6,"CROWNQUEST OPERATING, LLC",51094583,157695955,0,7.177513518882242
Howard,7,DIAMONDBACK E&P LLC,37332019,155094807,0,5.244216809826371
Howard,8,OXY USA INC.,36956475,92676837,0,5.19146225193253
Howard,9,"VITAL ENERGY, INC.",33430388,94388283,0,4.6961350445208385
Howard,10,CALLON PETROLEUM OPERATING CO,24002621,54326071,0,3.3717691113382173
Reeves,1,NOBLE ENERGY INC,67499503,192582220,101614,13.267816530157814
Reeves,2,"PERMIAN RESOURCES OPERATING, LLC",54119177,356280670,21191409,10.637757009842526
Reeves,3,DIAMONDBACK E&P LLC,46243501,220285861,4056372,9.08970080831809
Reeves,4,CHEVRON U. S. A. INC.,38027236,100133577,27335,7.474697856619956
Reeves,5,OXY USA WTP LP,36500675,82182342,114975,7.174634443262762
Reeves,6,COG OPERATING LLC,33296911,114597762,1881960,6.544897170116847
Reeves,7,"VTX ENERGY OPERATING, LLC",32352334,64742874,284283,6.359229516614169
Reeves,8,"PRI OPERATING, LLC",22857292,39877475,0,4.4928679938909175
Reeves,9,"CENTENNIAL RESOURCE PROD, LLC",21383511,160764589,8050433,4.203179106646333
Reeves,10,"VITAL ENERGY, INC.",17104120,72084358,1233825,3.3620147702391656
Loving,1,ANADARKO E&P ONSHORE LLC,223346263,866160112,84700897,37.13728886258332
Loving,2,PDEH LLC,94906225,257980961,8272934,15.780697851579125
Loving,3,"EOG RESOURCES, INC.",54780690,463248003,61207132,9.108754636389996
Loving,4,XTO ENERGY INC.,49936639,130576980,0,8.303301619913576
Loving,5,COG OPERATING LLC,45289852,102009338,6584572,7.530649018594265
Loving,6,SHELL WESTERN E&P,33606376,94778768,6736835,5.587958698626569
Loving,7,"WPX ENERGY PERMIAN, LLC",25739996,776302305,115145121,4.279962663954396
Loving,8,MATADOR PRODUCTION COMPANY,17348960,104217027,786,2.8847285391356805
Loving,9,"CIVITAS PERMIAN OPERATING, LLC",9549388,27280979,614291,1.5878411210170407
Loving,10,"CIRCLE-S ENERGY, LLC",6215741,13792993,0,1.0335331601765034
