"Search Criteria: "

"Initial View: County"
"Well Type: Both"
"County Name: HOWARD"
"Date Range: Jan 2020 - Mar 2026"

"Lease Name","Lease No.","District No.","Well No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
" CHRISTIAN 47",38696,08," ",2774,22252,0,0
3-A,28002,08," ",877,0,0,0
4-A,27187,08," ",627,0,0,0
"44 MAGNUM 9-4",56349,08," ",1290376,3465585,0,0
"8410 JV-P MAYFIELD",36276,08," ",0,0,0,0
"8410 JV-P WATTERS",30838,08," ",0,0,0,0
"846 SWD",49889,08," ",0,0,0,0
"87 AIRSTRIP SWD",50178,08," ",0,0,0,0
"87 FAIRVIEW SWD",48021,08," ",0,0,0,0
ABASIN,55032,08," ",249766,742786,0,0
"ABEL 12",43766,08," ",16462,72038,0,0
"ABEL 18",41802,08," ",12290,68551,0,0
"ABEL 18A",45783,08," ",75970,177476,0,0
"ABEL 18G",54464,08," ",482834,1086970,0,0
"ABEL 18X",54448,08," ",318535,629601,0,0
"ABILENE 43",47598,08," ",27295,76156,0,0
ABRAMS,02872,08," ",5835,0,0,0
ABRAMS,46385,08," ",6590,33,0,0
"ABYSS SWD",60773,08," ",0,0,0,0
ADAMS,40771,08," ",34448,108123,0,0
"ADAMS 37A",44355,08," ",26764,27711,0,0
"ADAMS 38",41856,08," ",45545,56705,0,0
"ADAMS 43",44567,08," ",3339,1119,0,0
"ADAMS 43-6 A",49764,08," ",551761,2105590,0,0
"ADAMS 43-6 B",54364,08," ",855424,3222432,0,0
"ADAMS 43-6 C",54786,08," ",555781,1305495,0,0
"ADAMS 43-6 D",54743,08," ",686432,1612506,0,0
"ADAMS 43-6 E",55021,08," ",117034,754386,0,0
"ADAMS 43A",48569,08," ",19727,4407,0,0
"ADAMS 47",42478,08," ",27314,45237,0,0
"ADAMS 48",39043,08," ",4418,10154,0,0
"ADAMS A",45761,08," ",1503,2326,0,0
"ADAMS D 3143DP",56032,08," ",302975,929058,0,0
"ADAMS H",47246,08," ",1024304,2009958,0,0
"ADAMS LEGACY",41375,08," ",26509,443850,0,0
"ADAMS UNIT",33700,08," ",8683,1,0,0
"ADAMS WEST 29",43362,08," ",4769,891,0,0
"ADAMS, BILLIE RUTH 38",40240,08," ",56381,43282,0,0
ADKINS,46899,08," ",3,568,0,0
"ADKINS A",46709,08," ",3981,11204,0,0
"ADKINS TIDWELL 4403 UNIT",47593,08," ",137577,83408,0,0
"ADOBE SPRINGS 44",44787,08," ",737,3045,0,0
"AIRLINES 8",41679,08," ",21208,64549,0,0
ALAMO,43168,08," ",0,0,0,0
ALEXANDER,34122,08," ",4645,0,0,0
"ALEXANDER 17",35031,08," ",80957,0,0,0
"ALEXANDER UNIT 48",43786,08," ",13074,72979,0,0
ALLAR,35312,08," ",0,0,0,0
"ALLAR 1",41358,08," ",47927,406964,0,0
"ALLAR 17",47172,08," ",9630,23390,0,0
"ALLAR 18",46524,08," ",81579,641448,0,0
"ALLAR 19A",46793,08," ",35152,386622,0,0
"ALLAR 19A-30",49525,08," ",63232,37112,0,0
"ALLAR 19B",47591,08," ",18275,190602,0,0
"ALLAR 19C",46403,08," ",27748,324665,0,0
"ALLAR 20",48173,08," ",9300,59248,0,0
"ALLAR 25",47840,08," ",54120,281642,0,0
"ALLAR 30",47209,08," ",48106,408374,0,0
"ALLAR 7",39654,08," ",11782,27774,0,0
"ALLDAY ""15""",36229,08," ",0,0,0,0
"ALLDAY ""N14""",36252,08," ",5738,115054,0,0
"ALLDAY N11",36194,08," ",7372,130023,0,0
"ALLDAY N15",36631,08," ",3374,27688,0,0
"ALLRED 2",44500,08," ",4647,4566,0,0
"ALLRED SWD",27787,08," ",0,0,0,0
"ALLRED UNIT A 08-05",48847,08," ",2122762,9216273,0,0
"ALLRED UNIT B 08-05",48774,08," ",2045498,8228502,0,0
"ALOE VERA",40103,08," ",3711,8144,0,0
"ALSOBROOKS 32-44 B UNIT",58212,08," ",191482,130357,0,0
"AMMIT UNIT 23-14",52998,08," ",300748,523579,0,0
AMOS,31449,08," ",11505,53466,0,0
"ANCIENT SEAS",48762,08," ",0,0,0,0
"ANDERSON ""16""",37495,08," ",1506,1668,0,0
"ANDERSON ""A""",29474,08," ",0,0,0,0
"ANDERSON -A-",04545,08," ",0,0,0,0
"ANDERSON -C-",29401,08," ",0,0,0,0
"ANDERSON 13",44582,08," ",472,492,0,0
"ANDERSON 15",39504,08," ",75160,245746,0,0
"ANDERSON 15",54000,08," ",0,0,0,0
"ANDERSON 24",45214,08," ",4978,15529,0,0
"ANDRE A",56853,08," ",904008,1669918,0,0
"ANDRE C",56865,08," ",370446,666627,0,0
"ANDRE D",54491,08," ",1091932,1331321,0,0
"ANDRE THE GIANT SWD",54878,08," ",0,0,0,0
"ANGRY GREEK 21",41403,08," ",9886,6050,0,0
"ANGUISH, E. W.",41115,08," ",129,0,0,0
ANNABEL,43359,08," ",3095,0,0,0
"ANNIE OAKLEY A",58318,08," ",314661,499064,0,0
"ANNIE OAKLEY B",58319,08," ",418542,1040017,0,0
"ANNIE OAKLEY C",58320,08," ",500661,1114057,0,0
"ANNIE OAKLEY D",58321,08," ",299051,679401,0,0
"ANNIE OAKLEY E",58322,08," ",690174,1754706,0,0
"ANOTHER NEWDGE 06-43",51828,08," ",223432,441956,0,0
"ARGENT BARKSDALE 29-17 A",55596,08," ",236920,1101175,0,0
"ARGENT BARKSDALE 29-17 B",55552,08," ",405784,1003179,0,0
"ARGENT BARKSDALE 29-17 C",55587,08," ",662171,1713870,0,0
"ARGENT BARKSDALE 29-17 D",55553,08," ",239166,940935,0,0
"ARGENT BARKSDALE 29-17 E",55588,08," ",379598,748182,0,0
"ARGENT BARKSDALE 29-17 F",55554,08," ",736100,1803311,0,0
"ARGENT BARKSDALE 29-17 G",55559,08," ",877424,1669191,0,0
"ARLINGTON 33",47278,08," ",18718,85505,0,0
"ARLINGTON 33-40 A UNIT",51646,08," ",114603,190979,0,0
