"Search Criteria:"

"Initial View: County"
"Well Type: Both"
"County Name: LOVING"
"Date Range: Jan 2020 - Mar 2026"

"Field Name","Field No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
WILDCAT,00018001,0,0,0,0
"ANNA K (ATOKA)",03010200,0,0,0,0
"ANNA K (UPPER BRUSHY CANYON)",03010600,0,0,0,0
"ARAPAHO (MORROW)",03355530,0,0,658,0
"ARAPAHO (STRAWN)",03355600,0,0,3424438,80768
"BATTLEAXE (DELAWARE)",06157500,0,0,0,0
"BLIX ANN (CHERRY CANYON)",08889075,0,0,0,0
"BRUNSON RANCH (BONE SPRINGS)",12646300,122,0,0,0
"BRUNSON RANCH (PENN, LO. -ATOKA)",12646620,0,0,286733,0
"BRUNSON RANCH (STRAWN)",12646700,0,0,23994,0
"BRUSHY DRAW (CHERRY CANYON)",12660500,0,0,0,0
"CHAPARRAL DRAW (OLDS)",17001260,12676,14630,0,0
"COGNAC (CHERRY CANYON)",19360250,0,0,0,0
"DAMSITE (WOLFCAMP)",22905700,0,0,0,0
"DIMMITT (CHERRY CANYON)",24853400,0,0,0,0
"DIMMITT (DELAWARE)",24853500,0,0,0,0
"DIMMITT (DELAWARE CONS)",24853600,289905,405075,0,0
"DONNA (M)",25322500,0,0,0,0
"EL MAR (DELAWARE)",28019500,4789,1452,0,0
"EVETTS (SILURIAN)",29739750,0,0,0,0
"FORD, EAST (DELAWARE SAND)",31908500,3665,659,0,0
"FORD, WEST (WOLFCAMP)",31913800,0,0,1252018,68963
"GERALDINE (FORD)",34529666,50941,0,0,0
"GRICE (DELAWARE)",36924500,478622,679087,0,0
"HALEY (BONE SPRINGS)",38118200,0,0,0,0
"HALEY (LWR. WOLFCAMP-PENN CONS.)",38118300,0,0,16752258,27792
"HALEY, S. (BONE SPRINGS)",38120050,23423,15182,0,0
"HARRISON RANCH (MORROW)",39270500,0,0,0,0
"HUBBARD (CHERRY CANYON)",43106200,5048,6380,841,7
"JEANITA (CHERRY CANYON)",46041500,0,0,0,0
"JEANITA (RED BLUFF)",46041700,0,0,0,0
"KENNEDY, BILL(ATOKA STRAWN CONS)",48942090,0,0,120389,0
"M.A.J. (SILURIAN)",56068750,0,0,0,0
"MADERA RANCH (LOWER PENN)",56550500,0,0,842792,0
MASON,58099001,10619,0,0,0
"MASON, N. (DELAWARE SAND)",58101500,209112,0,0,0
"MCGILLICUTTY (BRUSHY CANYON)",59489500,2802,4069,0,0
"MENTONE (ATOKA)",60518050,0,0,0,0
"MENTONE (FUSSELMAN)",60518300,0,0,0,0
"MENTONE, NE. (DELAWARE)",60518370,0,0,0,0
"MENTONE, N. E. (UPPER BELL CAN)",60518400,0,0,0,0
"MERIDIAN (DELAWARE)",60624500,0,0,0,0
"MOORE-HOOPER (ELLEN.)",62718350,0,0,0,0
"MOORE-HOOPER (FUSS.)",62718400,0,0,0,0
"MOORE-HOOPER (WLFCMP\PENN CONS)",62718690,474529,1014707,1530231,6693
"MOORE-HOOPER (WOLFCAMP)",62718700,73458,204179,0,0
"MYRTLE -B- (CHERRY CANYON)",64222200,0,0,0,0
"ORLA, SOUTH (DELAWARE SAND)",67604500,0,0,0,0
"ORLA, SOUTHEAST (DELAWARE)",67609500,0,0,0,0
"PECOS BEND (OLDS)",70098500,0,0,0,0
"PHANTOM (WOLFCAMP)",71052900,503413214,1189873934,1448190242,272198482
"PINAL DOME (CHERRY CANYON)",71542400,0,0,0,0
"PINAL DOME (DELAWARE)",71542500,0,0,0,0
"PINAL DOME, CENTRAL (DELAWARE)",71545500,0,0,0,0
"PONDITO (CHERRY CANYON)",72243500,0,0,0,0
"QUITO, WEST (CHERRY CANYON)",73933420,0,0,0,0
"QUITO, WEST (DELAWARE)",73933500,0,0,0,0
"RED BLUFF (CONSOLIDATED)",75161450,368567,655503,0,0
"RED BLUFF (DELAWARE)",75161500,0,0,0,0
"RED BLUFF (DELAWARE, LOWER)",75161550,0,0,0,0
"RED BLUFF (WOLFCAMP)",75161700,0,0,842492,17304
"SANDBAR (BONE SPRING)",80544500,63968879,168602714,513660609,100305153
"SLASH RANCH (ELLENBURGER)",83970400,0,0,541837,0
"SLASH RANCH (FUSSELMAN)",83970450,0,0,245067,0
"SLASH RANCH (PENN)",83970475,0,0,31663,0
"SLASH RANCH (WOLFCAMP)",83970480,18,32,3040,0
"SLASH RANCH, NORTH (PENN)",83974500,0,0,162869,0
"STONE CUTTER (WOLFCAMP)",86305800,0,0,76235,77
"TEXAS BEND (ATOKA)",89106500,0,0,0,0
TUNSTILL,91817001,1,0,0,0
"TUNSTILL (CHERRY CANYON -F-)",91817075,68,20,0,0
"TUNSTILL (DELAWARE)",91817500,0,0,0,0
"TUNSTILL, EAST (DELAWARE)",91818500,0,0,0,0
"TWO GEORGES (BONE SPRING)",92100050,31826281,86741805,0,0
"TWOFREDS (DELAWARE)",92141333,55828,75892,0,0
"TWOFREDS (DELAWARE, LOWER)",92141666,4412,0,0,0
"TWOFREDS, E. (DELAWARE)",92142500,25592,18785,0,0
"TWOFREDS, NW. (DELAWARE)",92145500,0,0,0,0
"VER-JO (DELAWARE)",93489500,0,0,0,0
"VERMEJO (DELAWARE)",93584300,0,0,53614,503
"VERMEJO (ELLENBURGER)",93584440,0,0,0,0
"VERMEJO (FUSSELMAN)",93584500,0,0,388680,0
"W W W (RAMSEY)",94464500,0,0,0,0
"WAR-WINK (CHERRY CANYON)",95122200,0,0,0,0
WHEAT,96742001,44034,0,0,0
"WHEAT (CHERRY CANYON)",96742300,56458,0,0,0
"WHEAT, S. (CHERRY CANYON)",96744800,0,0,0,0
"WINK, S. (BONE SPRINGS)",98028090,0,0,0,0
"WOLFBONE (TREND AREA)",98359800,0,0,0,0
"WOLF (WOLFCAMP)",98360500,0,0,0,0
"WORSHAM (CASTILE)",98817250,0,0,0,0
"ZUMA (DELAWARE)",99902600,0,0,0,0
"ZUNI (BELL CANYON)",99915200,3959,1828,0,0
Total,,601407022,1448315933,1988430700,372705742
