"Search Criteria: "

"Initial View: County"
"Well Type: Both"
"County Name: LOVING"
"Date Range: Jan 2020 - Mar 2026"

"Lease Name","Lease No.","District No.","Well No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"5ANDBAR 54-2-13 UNIT",63977,08," ",300734,836410,0,0
"652 SWD",48839,08," ",0,0,0,0
"8210 JV-P VERMEJO",113792,08," 1",0,0,20687,8
"9805 JV-P WARWINK",48806,08," ",0,0,0,0
"ABERNATHY 2",28049,08," ",646,1575,0,0
"ABERNATHY 20",45972,08," ",0,0,0,0
"ABERNATHY 57-T1-14",270387,08," 1H",0,0,1241997,92206
"ABERNATHY 57-T1-14",45618,08," ",93437,620050,0,0
"ABERNATHY, J. LOGAN UNIT",099089,08," 2D",0,0,0,0
"ABERNATHY, J.LOGAN B",38221,08," ",2760,495,0,0
"ABRACADABRA SWD",64362,08," ",0,0,0,0
AC/DC,64507,08," ",0,0,0,0
"AD HAWK STATE 65-64",64320,08," ",290775,384575,0,0
"AD HAWK STATE A 65-64",64254,08," ",0,0,0,0
"AERMOTOR SWD",52190,08," ",0,0,0,0
"AEROSMITH SWD",61483,08," ",0,0,0,0
"AFTERBUZZ EAST A UNIT",56946,08," ",340750,658326,0,0
"AFTERBUZZ EAST B UNIT",55603,08," ",401594,815094,0,0
"AFTERMATH EAST A UNIT",58630,08," ",470332,897164,0,0
"AFTERMATH EAST B UNIT",58631,08," ",490130,1010437,0,0
"AFTERMATH WEST A UNIT",55637,08," ",511751,805205,0,0
"AFTERMATH WEST A UNIT BS",60565,08," ",229457,489125,0,0
"AFTERMATH WEST B UNIT",56659,08," ",512029,830092,0,0
"AFTERSHOCK WEST A UNIT",292465,08," 201H",0,0,914414,395684
"AFTERSHOCK WEST A UNIT",55439,08," ",0,0,0,0
"AFTERSHOCK WEST B UNIT",59951,08," ",357573,815341,0,0
"AGGIE UNIT 75-67-66",50860,08," ",172711,1352971,0,0
AHEARN,29284,08," ",0,0,0,0
"AIR JORDAN SWD",54636,08," ",0,0,0,0
"ALLEN 55-2-44 LOV UNIT",286761,08," 2H",0,0,1059197,183425
"ALLEN 55-2-44 LOV UNIT",289071,08," 3H",0,0,580199,156523
"ALLEN 55-2-44 LOV UNIT",290017,08," 1H",0,0,191581,63087
"ALLEN 55-2-44 LOV UNIT",46733,08," ",0,0,0,0
"ALLEN 55-2-44 LOV UNIT E",287560,08," 1H",0,0,346136,57797
"ALLEN 55-2-44 LOV UNIT E",289072,08," 2H",0,0,710459,177018
"ALLEN 55-2-44 LOV UNIT E",289074,08," 3H",0,0,587980,137967
"ALLEN 55-2-44 LOV UNIT E",48063,08," ",0,0,0,0
"ALLEN, J. G.",36983,08," ",47,0,0,0
"ALLMAN SWD",63841,08," ",0,0,0,0
"AMARILLO BY MORNING 54-T2-42",282869,08," 1H",0,0,491922,98403
"AMARILLO BY MORNING 54-T2-42",282873,08," 2H",0,0,414288,109080
"AMETHYST STATE 29-0-20-17 A",59028,08," ",902867,1070774,0,0
"AMETHYST STATE 29-0-20-17 B",59026,08," ",531439,852167,0,0
"AMETHYST STATE 29-0-20-17 C",59016,08," ",607374,1382345,0,0
"AMETHYST STATE 29-0-20-17 E",59198,08," ",248818,630222,0,0
"AMETHYST STATE 29-0-20-17 F",59027,08," ",139306,424382,0,0
"AMETHYST STATE 29-0-20-17 G",59017,08," ",193067,536902,0,0
"AMETHYST STATE 29-0-20-17 H",59193,08," ",776404,1325115,0,0
"AMETHYST STATE 29-0-20-17 I",59177,08," ",520621,974913,0,0
"AMETHYST STATE 29-0-20-17 J",59019,08," ",290296,624273,0,0
"ANACONDA 53-24",43702,08," ",94397,82458,0,0
"ANDERSON '11'",225124,08," 2",0,0,0,0
"ANDERSON 10",240420,08," 1",0,0,9446,5
"ANDERSON 11",244116,08," 3",0,0,2141032,1442
"ANDERSON 15",220550,08," 1",0,0,529867,267
"ANDERSON 16",228693,08," 1",0,0,13579,221
"ANDERSON 2",265228,08," 2H",0,0,68699,68898
"ANDERSON 32",209660,08," 1",0,0,348564,34
"ANDERSON 45",234801,08," 1",0,0,1158,1
"ANGELINA 55-2-29 LOV",49839,08," ",0,0,0,0
"APC 28-10",220547,08," 1",0,0,142,0
"APC 28-10",252984,08," 2",0,0,578538,3333
"APC 28-17",52488,08," ",0,0,0,0
"APC 28-20",52527,08," ",0,0,0,0
"APC 28-3",255306,08," 1",0,0,0,0
"APC 28-5",255799,08," 2",0,0,636585,1606
"APC 28-5",48793,08," ",194012,215466,0,0
"APC 29-1",234033,08," 1",0,0,1281010,151
"APC 29-1",240054,08," 2",0,0,630,0
"APC 29-29",51465,08," ",0,0,0,0
"APC 54-1-18",50414,08," ",0,0,0,0
"APC 54-2-15",52568,08," ",0,0,0,0
"APC 55-1-17",53505,08," ",0,0,0,0
"APC 55-1-24",50789,08," ",0,0,0,0
"APC 55-1-37",55618,08," ",0,0,0,0
"APC 55-1-41",56968,08," ",0,0,0,0
"APC 75-29",272618,08," 1",0,0,3040,0
"APC 75-30",251502,08," 1",0,0,5180,0
"APC 75-31",236089,08," 1",0,0,307280,243
"APC 75-32",252473,08," 1",0,0,9577,35
"APC 76-10",48428,08," ",0,0,0,0
"APC 76-10",55615,08," ",0,0,0,0
"APC 76-17",53374,08," ",0,0,0,0
"APC C26-1",245063,08," 1",0,0,0,0
"APC C27-7",52689,08," ",0,0,0,0
"APC FEE 1-40",40729,08," ",155392,310343,0,0
"APC FEE 1-40",48327,08," ",118337,171813,0,0
"APC FEE 1-50 UNIT",285124,08," 5H",0,0,619120,142111
"APC FEE 1-50 UNIT",41231,08," ",256543,397736,0,0
"APC FEE 1-50 UNIT",48328,08," ",41709,65305,0,0
"APC FEE 6",43431,08," ",51976,92199,0,0
"APC FEE 6",47511,08," ",0,0,0,0
"APC FEE 62",244822,08," 1",0,0,0,0
"APC SWD",219735,08," 1",0,0,0,0
"APHRODITE SWD",60930,08," ",0,0,0,0
APOLLO,290566,08," 16H",0,0,1091133,194909
APOLLO,290569,08," 15H",0,0,1154253,208138
APOLLO,290570,08," 17H",0,0,1158012,139868
APOLLO,290598,08," 14H",0,0,1286228,248858
APOLLO,290604,08," 13H",0,0,1225197,208681
APOLLO,290717,08," 12H",0,0,1208031,204254
APOLLO,54516,08," ",0,0,0,0
"APOLLO 7",289258,08," 8H",0,0,666466,105945
"APOLLO 7",289259,08," 5H",0,0,854116,151105
"APOLLO 7",289260,08," 4H",0,0,242914,38176
"APOLLO 7",289263,08," 9H",0,0,695661,138779
"APOLLO 7",289264,08," 10H",0,0,843146,140426
"APOLLO 7",289265,08," 6H",0,0,736359,106077
"APOLLO 7",289266,08," 7H",0,0,715255,124894
"APOLLO 7",289267,08," 11H",0,0,832026,116730
"APOLLO 7",47326,08," ",223645,825198,0,0
"APOLLO SWD",58131,08," ",0,0,0,0
"AQUAMAN SWD",51359,08," ",0,0,0,0
"ARCHES 55-1-17 UNIT",284201,08," 1H",0,0,1854438,417140
"ARCHES 55-1-17 UNIT",297818,08," 12H",0,0,1399382,380814
"ARCHES 55-1-17 UNIT",297819,08," 13H",0,0,1374222,394111
"ARCHES 55-1-17 UNIT",297896,08," 21H",0,0,1938931,246765
ARCTIC,38481,08," ",90651,102919,0,0
"ARES SWD",54759,08," ",0,0,0,0
"ARICA 42",35944,08," ",0,0,0,0
"ARNO 78-TTT-B33 WF",46141,08," ",80509,2032855,0,0
"ARNO 78-TTT-B33 WF",49139,08," ",56021,850942,0,0
"ARNO GAS UNIT",087380,08," 1",0,0,0,0
"ARNO GAS UNIT",101567,08," 2",0,0,3664,883
"ARNO GAS UNIT",230785,08," 1",0,0,0,0
"ARRINGTON, BERTHA A",26383,08," ",0,0,0,0
"ARROWHEAD A",51797,08," ",403553,782170,0,0
"ARROWHEAD C 28-12-33",54087,08," ",355862,587921,0,0
"ARROWHEAD D 28-12-33",53748,08," ",300268,390731,0,0
"ARROWHEAD E 28-12-33",54108,08," ",400557,616707,0,0
"ARROWHEAD F 28-12-33",53700,08," ",418309,614510,0,0
"ARROWHEAD J 28-12-33",54109,08," ",375336,422743,0,0
"ARROWHEAD K 28-12-33",54142,08," ",380103,366391,0,0
"ASH 55-1-32 UNIT",282757,08," 1H",0,0,1821499,397151
"ASH 55-1-32 UNIT",286442,08," 2H",0,0,1645516,356071
"ASH 55-1-32 UNIT",300775,08," 21HC",0,0,861650,272290
"ASH 55-1-32 UNIT",300792,08," 13HB",0,0,866081,264149
"ASHLOCK 1-34",284402,08," 5H",0,0,295219,80701
"ASHLOCK 1-34",41954,08," ",335864,1304208,0,0
"ASHLOCK 1-34",48466,08," ",0,0,0,0
"ASPEN 55-1-30 UNIT",284432,08," 1HR",0,0,2447468,493919
"ASPEN 55-1-30 UNIT",285400,08," 2H",0,0,1482994,364601
"ASPEN 55-1-30 UNIT",286806,08," 3H",0,0,1070216,250964
"ASPEN 55-1-30 UNIT",289779,08," 4H",0,0,1445334,284112
"ATLANTA 73",295413,08," 73H",0,0,2189641,185487
"ATLANTA 73",295529,08," 72H",0,0,2647953,149826
"ATLANTIS 7 UNIT",289005,08," 6H",0,0,1469095,377479
"ATLANTIS 7 UNIT",289008,08," 7H",0,0,1136362,246122
"ATLANTIS 7 UNIT",289009,08," 8H",0,0,936623,225193
"ATLANTIS 7 UNIT",289010,08," 9H",0,0,1306106,249987
"ATLANTIS UNIT",289950,08," 12H",0,0,1050844,216518
"ATLANTIS UNIT",289951,08," 13H",0,0,1396770,184225
"ATLANTIS UNIT",290008,08," 11H",0,0,1188597,213710
"ATLANTIS UNIT",290012,08," 10H",0,0,1153959,224202
ATLAS,285237,08," 1H",0,0,19354,1594
ATLAS,285238,08," 2H",0,0,27102,1530
ATLAS,290879,08," 554H",0,0,0,0
ATLAS,56021,08," ",276343,992602,0,0
"ATLAS 7 UNIT",291108,08," 7H",0,0,1021788,299522
"ATLAS 7 UNIT",291111,08," 8H",0,0,1011545,308088
"ATLAS 7 UNIT",291316,08," 10H",0,0,1129438,452739
"ATLAS 7 UNIT",291318,08," 9H",0,0,828182,288825
"ATLAS 7 UNIT",53158,08," ",1516571,4557576,0,0
"ATLAS A",290881,08," 551H",0,0,0,0
"ATLAS A",56018,08," ",462954,1137952,0,0
"ATLAS B",290883,08," 552H",0,0,0,0
"ATLAS B",292725,08," 552H",0,0,984439,343062
"ATLAS B",56019,08," ",0,0,0,0
"ATLAS C",290955,08," 553H",0,0,0,0
"ATLAS C",292728,08," 553H",0,0,1304056,347195
"ATLAS C",56020,08," ",0,0,0,0
"ATLAS SWD",47738,08," ",0,0,0,0
"ATOMIC 55-1-18-6 A",300130,08," 12HR",0,0,1808411,306979
"ATOMIC 55-1-18-6 B",300256,08," 13H",0,0,1742640,270972
"ATOMIC 55-1-18-6 C",300267,08," 14H",0,0,1808412,266992
"ATOMIC 55-1-18-6 D",300241,08," 15H",0,0,1777414,301629
"ATOMIC 55-1-7 UNIT",284504,08," 1H",0,0,1315899,214880
"AURORA LARSON 04-TTT-B-02 WF",57298,08," ",117277,1135486,0,0
"AURORA LARSON 04-TTT-B02 WF",53540,08," ",317549,1317966,0,0
"AURORA LARSON 04-TTT-B02 WF",53542,08," ",210043,1014006,0,0
"AVALANCHE 29-40 UNIT",47807,08," ",395106,730600,0,0
"AVANT 29-40",45969,08," ",14319,19704,0,0
"AVANT, FORREST ET AL ""40""",174626,08," 1",0,0,1089,0
"B AND B",289683,08," 2H",0,0,2743397,301546
"B AND B",289684,08," 1H",0,0,1787649,235087
"B AND B",294614,08," 6H",0,0,841573,80548
"B AND B STATE",292085,08," 4H",0,0,1318778,186494
"B AND B STATE A",291703,08," 5H",0,0,2696061,269307
"B AND B STATE B",294628,08," 7H",0,0,3767384,95512
"B AND B SWD",54964,08," ",0,0,0,0
