"Search Criteria: "

"Initial View: County"
"Well Type: Both"
"County Name: LOVING"
"Date Range: Jan 2020 - Mar 2026"

Date,"Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
" Jan 2020",7258729,15458848,19963658,4621232
" Feb 2020",6979903,14758937,19183176,4287108
" Mar 2020",8177875,17601938,23640819,5469058
" Apr 2020",7392785,16083269,21289985,4857119
" May 2020",7412022,16103938,20827847,4568757
" Jun 2020",6501210,14726208,19508466,4187818
" Jul 2020",6829857,15158748,19208714,4058167
" Aug 2020",6522080,14448634,18330389,3789132
" Sep 2020",6145167,13823902,18657006,3875340
" Oct 2020",6654125,14954549,19364199,4065759
" Nov 2020",6458536,14479956,18116812,3760653
" Dec 2020",6758652,14566762,19592320,4341217
" Jan 2021",6549945,14575801,22578659,5023689
" Feb 2021",4617545,10191722,15858453,3465154
" Mar 2021",6800184,15061789,20281262,4290381
" Apr 2021",6671928,15301699,20967488,4218041
" May 2021",7032067,15991725,22099344,4446870
" Jun 2021",6213468,14254706,22199224,4695675
" Jul 2021",6410162,14872268,24378469,4942114
" Aug 2021",6718589,15417617,23457007,4616719
" Sep 2021",6708160,15328394,23617163,4594403
" Oct 2021",7389663,16629918,22812958,4267707
" Nov 2021",7281670,16237490,22109927,4323300
" Dec 2021",8004430,18636281,24007713,4750048
" Jan 2022",7388117,16576433,23515153,4906435
" Feb 2022",6351635,13889548,20737533,4313668
" Mar 2022",7442157,16669359,23946261,4883005
" Apr 2022",7443248,16971422,25022719,5087411
" May 2022",7588128,17471295,26183076,5357097
" Jun 2022",7059661,15892189,24139519,4974652
" Jul 2022",7301698,16823238,26511419,5335321
" Aug 2022",7000397,16453657,28518750,5857639
" Sep 2022",7151900,16928767,26742637,5316685
" Oct 2022",7546659,17563919,26690296,5273822
" Nov 2022",7579978,16831067,24825654,4972557
" Dec 2022",8173195,17926416,24647471,4849648
" Jan 2023",8243494,18120311,25590250,5013527
" Feb 2023",7232079,15882804,23696980,4764019
" Mar 2023",8546822,19100303,28111154,5458782
" Apr 2023",7994328,17995421,26365914,4924063
" May 2023",8138803,17991695,27773165,5344044
" Jun 2023",7728840,17565496,27243855,5034480
" Jul 2023",8534493,19967427,27499962,5017520
" Aug 2023",8183191,18533131,27305977,5050845
" Sep 2023",7994207,18866648,26974752,4987635
" Oct 2023",8050401,18501241,27085515,5046246
" Nov 2023",8329352,19879321,26640986,5067861
" Dec 2023",9283565,21981796,28499724,5304864
" Jan 2024",8867133,21256518,28462763,5516930
" Feb 2024",8613650,21027607,28500991,5492813
" Mar 2024",9066644,22768727,30815282,5699069
" Apr 2024",8448350,21058335,28807350,5129534
" May 2024",9404336,22417875,28353319,4929191
" Jun 2024",9442292,23104283,29516582,5303273
" Jul 2024",9171929,22894062,30921545,5601751
" Aug 2024",9368925,23577780,33457713,5860975
" Sep 2024",9037711,22993047,32952794,5721897
" Oct 2024",9472529,24033970,35491638,6202998
" Nov 2024",9423683,23986424,32853754,5767397
" Dec 2024",9639470,25307685,32261015,5414006
" Jan 2025",9513198,24575727,31725466,5366144
" Feb 2025",8631425,22796967,29144626,4931018
" Mar 2025",9184928,24404553,32359652,5399739
" Apr 2025",9368532,24885897,33133111,5392370
" May 2025",9665024,25910689,35728545,5664878
" Jun 2025",8940065,24142100,32680026,5061915
" Jul 2025",9704381,26029846,36169397,5769572
" Aug 2025",9529591,25797095,35545588,5624479
" Sep 2025",9586578,25826927,32388932,5082734
" Oct 2025",10246726,27701376,32659165,5234208
" Nov 2025",9623128,26804672,31248606,4976730
" Dec 2025",9760773,27285576,33099550,5261440
" Jan 2026",9544676,26014167,33063119,5241921
" Feb 2026",8820537,24890584,30051926,4676844
" Mar 2026",9555708,27775441,30718465,4724629
Total,601407022,1448315933,1988430700,372705742
