"Search Criteria:"

"Initial View: County"
"Well Type: Both"
"County Name: LOVING"
"Date Range: Jan 2020 - Mar 2026"

"Operator Name","Operator No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"ADMIRAL PERMIAN OPERATING LLC",100158,5807148,13373507,9313747,1603182
"AGHORN OPERATING, INC.",008716,1925,0,0,0
"ALCHEMIST ENERGY, LLC",011198,0,0,15001955,871543
"AMEREDEV OPERATING, LLC",019802,0,0,18591,7
"AMEREDEV TEXAS, LLC",102390,0,0,5129,0
"ANADARKO E&P ONSHORE LLC",020528,223346263,498923670,367236442,84700897
"APACHE CORPORATION",027200,1369538,4294144,106085750,22152482
"APC WATER HOLDINGS 1, LLC",027348,0,0,0,0
"ARCH OIL & GAS, LLC",029272,3507,0,0,0
"ARMOR PETROLEUM, INC.",031585,630,0,0,0
"ATLANTIC OPERATING II, LLC",036543,451601,673677,0,0
"ATLAS OPERATING LLC",036587,0,0,0,0
"BASIC ENERGY SERVICES, L.P.",054313,0,0,0,0
"BCP RESOURCES, LLC",040206,2457,0,0,0
"BLACK TOP OPERATING, LLC",100204,29623,0,0,0
"BOAZ ENERGY II OPERATING, LLC",078032,10244,0,0,0
"BOYD, D. K. OIL AND GAS CO.,INC.",084596,0,0,116877,0
"BPX OPERATING COMPANY",085408,1490298,5687424,40690505,7801319
"BREITBURN OPERATING L.P.",090732,0,0,0,0
"BTA OIL PRODUCERS, LLC",041867,1423115,3346198,10889189,2576422
"BUSTAMANTE RESOURCES LLC",112682,1054,0,0,0
"BYLER DRILLING COMPANY",118700,0,0,0,0
"CALLON PERMIAN II, LLC",101442,11270,40723,0,0
"CALLON PETROLEUM OPERATING CO",124828,8375,21660,0,0
"CHANCE PROPERTIES CO.",144184,0,0,0,0
"CHEVRON U. S. A. INC.",148113,0,0,842792,0
"CIMAREX ENERGY CO. OF COLORADO",153429,0,0,286733,0
"CIRCLE-S ENERGY, LLC",100703,6215741,13792993,0,0
"CITATION OIL & GAS CORP.",154235,13019,196036,0,0
"CIVITAS PERMIAN OPERATING, LLC",101577,9549388,25121317,2159662,614291
"CLAUDE-MAGGIE CO.",158295,4967,0,0,0
"CLR SECONDARY RECOVERY, LLC",101415,0,0,0,0
"COG OPERATING LLC",166150,45289852,86750746,15258592,6584572
"COLGATE OPERATING, LLC",167327,0,0,0,0
"CONOCOPHILLIPS COMPANY",172232,0,0,67964,0
"CONTANGO RESOURCES, INC.",173206,0,0,2532,0
"CONTANGO RESOURCES, LLC",100222,0,0,148130,0
"COOK, KENNETH D. OPERATOR",174336,0,0,0,0
"COTERRA ENERGY OPERATING CO.",103285,0,0,0,0
"CP EXPLORATION III OPERATING,LLC",186304,35,0,22984872,2298359
"CPX ENERGY OPERATING, LLC",101714,0,0,38655956,2906517
"CRESCENT ENERGY OPERATING, LLC",103575,0,0,1510,0
"DACO OPERATING, LLC",196936,0,0,0,0
"DAYLIGHT PETROLEUM LLC",208171,1296,0,0,0
"DBM WATER SERVICES, LLC",195777,0,0,0,0
"DEVON ENERGY PRODUCTION CO, L.P.",216378,0,0,0,0
"DIAMONDBACK E&P LLC",217012,3873122,28124532,67316,504
"DOUBLE EAGLE OPERATING, LLC",224857,0,0,4769,0
"EARTHSTONE OPERATING, LLC",238732,0,0,0,0
"ELEMENT PETROLEUM OPERATING IV,",102343,4368,0,0,0
"ENDEAVOR ENERGY RESOURCES L.P.",251726,14751,1809,53751,5802
"EOG RESOURCES, INC.",253162,54780690,137219093,326028910,61207132
"EQV OPERATING LLC",101634,0,0,2750979,225972
"EXTEX OPERATING COMPANY",257062,224756,0,0,0
"FDL OPERATING, LLC",263924,0,0,407112,0
"FELIX ENERGY HOLDINGS II, LLC",265322,165948,263157,0,0
"FELIX WATER, LLC",265326,0,0,0,0
"FINLEY RESOURCES, INC.",268602,0,0,0,0
"FLAT TOP OPERATING, LLC",100526,530,0,0,0
"FULCRUM DELAWARE WATER RES, LLC",288546,0,0,0,0
"FULFER OIL AND CATTLE CO.",288566,0,0,0,0
"GOODNIGHT MIDSTREAM PERMIAN, LLC",315075,0,0,0,0
"GRACE PETROLEUM OPERATING, LLC",319765,46054,0,0,0
"GREAT WESTERN DRILLING COMPANY",328780,18486,90338,0,0
"GREENLAKE ENERGY OPERATING, LLC",331448,338137,507341,12756466,3401341
"GRIZZLY OP OF DELAWARE, LLC",334922,1,0,0,0
"HEADINGTON ENERGY PARTNERS, LLC",370061,5171097,11292072,0,0
"HELMS OIL & GAS, LLC",374347,0,0,0,0
"HELMS SWD OPERATING, LLC",374348,0,0,0,0
"HOME PETROLEUM CORP.",396852,0,0,0,0
"HOPPER, HARLAN",399651,0,0,0,0
"IMPETRO OPERATING LLC",423519,0,0,5918,3
"INCLINE ENERGY",423656,3057,0,0,0
"ISKANDIA ENERGY OPERATING, INC.",426961,109432,183511,850821,0
"K3 PRODUCTIONS LLC",449236,1562,0,0,0
"KERR-MCGEE OIL & GAS ONSHORE LP",457807,0,0,0,0
"LAST MILE PRODUCTION, LLC",102051,39212,21336,130615,0
"LEGACY RESERVES OPERATING LP",495445,9323,0,0,0
"LRR PECOS VALLEY, LLC",511724,3125759,10782783,38040001,10871677
"M2 SQUARED OPERATING, LLC",519348,2639,0,0,0
"MADISON AND WRIGHT LLC",521182,0,0,0,0
"MATADOR PRODUCTION COMPANY",532993,17348960,104186732,30295,786
"MEWBOURNE OIL COMPANY",562560,2384597,4480097,163456218,31726333
"MEXCO ENERGY CORPORATION",562563,0,0,0,0
"MILTEX OIL COMPANY",569415,75,0,0,0
"MNA ENTERPRISES LTD. CO.",571988,128,0,0,0
"MUSTANG SWD OPERATING, LLC",597220,0,0,0,0
"NGL WATER SOLUTIONS PERMIAN, LLC",609265,0,0,0,0
"OASIS PETROLEUM PERMIAN LLC",617484,1095941,1652196,0,0
"OLYMPIC OIL AND GAS CORPORATION",622495,0,0,0,0
"OWL OPS LLC",100332,2193,0,0,0
"OWL SWD OPERATING, LLC",629870,0,0,0,0
"OXY USA INC.",630591,623020,2193912,7405963,894495
"OXY USA WTP LP",630555,1143136,1619674,0,0
"P4 OPERATING, LLC",631638,0,0,0,0
"PATRIOT PRODUCTION LLC",643403,34578,0,0,0
"PDEH LLC",646827,94906225,222074902,35906059,8272934
"PEARCE, ROY F., JR.",647256,0,0,0,0
"PERCUSSION PETROLEUM OPER II,LLC",653216,1378413,2308119,0,0
"PERMIAN RESOURCES OPERATING, LLC",100852,2011650,3687972,0,0
PETEX,659782,8985,0,0,0
"PETRO-HUNT PERMIAN, LLC",100313,2434788,5420599,4807211,1157494
"PHOENIX MINERALS INC.",664135,0,0,0,0
"PILOT WATER GATH DELAWARE LLC",665590,0,0,0,0
"PILOT WATER SOLUTIONS SWD LLC",665596,0,0,0,0
"PITTS ENERGY CO.",666430,2121,0,0,0
"POINT ENERGY PARTNERS PETRO, LLC",668897,0,0,0,0
"POWDERHORN OPERATING, LLC",103379,0,0,0,0
"PRIEST PETROLEUM CORPORATION",677560,0,0,0,0
"PUTNAM, PAUL OIL",683548,127,0,0,0
"PYRAMID GAS CO",684441,2109,0,0,0
"Q NATURAL RESOURCES, LLC",684427,15190,0,0,0
"QP, INC.",684489,47214,4224,0,0
"RANGER 40 PETROLEUM, LLC",691714,23352,0,0,0
"RATTLER MIDSTREAM OPERATING LLC",694704,0,0,0,0
"RED BLUFF RESOURCES LLC",696653,0,0,0,0
"RIO OIL AND GAS (PERMIAN) II,LLC",712803,0,0,4575524,441484
"ROBERTSON RESOURCES, INC.",718770,22839,2810,0,0
"RODAN, INC.",100544,6933,0,0,0
"ROSEHILL OPERATING COMPANY, LLC",728256,2799418,8229018,3349625,507873
"SAHARA OPERATING COMPANY",743279,785,0,0,0
"SAN MATEO WOLF WTR RESOUR., LLC",102172,0,0,0,0
"SCHLACHTER OPERATING CORPORATION",753981,637,0,0,0
"SEAWOLF RSWD RESOURCES, LP",762675,0,0,0,0
"SELECT AGUA LIBRE MIDSTREAM, LLC",765601,0,0,0,0
"SELECT WATER SOLUTIONS, LLC",101691,0,0,0,0
"SHELL WESTERN E&P",774719,33606376,67202523,27576245,6736835
"SHENANDOAH PETROLEUM CORPORATION",775563,8946,0,0,0
"SHERIDAN PRODUCTION COMPANY, LLC",775854,0,0,55416,0
"SMC OIL & GAS, INC.",789634,30359,55943,0,0
"SOLARIS WATER MIDSTREAM, LLC",801148,0,0,0,0
"SOUTHWEST ROYALTIES, INC.",806470,0,0,0,0
"STATELINE WATER, LLC",816096,0,0,0,0
"STEPHENS & JOHNSON OPERATING CO.",817555,0,0,0,0
"SUNERGON OIL OPERATING, LLC",829285,34161,0,0,0
"TALL CITY BRINE LLC",835516,0,0,0,0
"TAP ROCK OPERATING, LLC",836003,1609655,2997876,0,0
"TEKE PRODUCTION LLC",100657,187,0,0,0
"TERRAIN WATER SOLUTIONS, LLC",843288,0,0,0,0
"TEXAS BEND OIL CO.",844355,0,0,0,0
"TEXAS CONSOLIDATED PET. CORP.",844800,3802,0,0,0
"THREE-B OIL COMPANY, THE",857405,1630,0,0,0
"TIZA ENERGY, INC.",880850,0,0,0,0
"TRACE NATURAL RESOURCES LLC",863798,0,0,0,0
"TRINITY ENVIRO SWD I, L.L.C.",869989,0,0,0,0
"TRP OPERATING LLC",872117,1114099,4996614,6985,7
"TS OIL, LLC",101988,0,0,0,0
"UNIT PETROLEUM COMPANY",877099,0,0,0,0
"VELOCITY WATER SOLUTIONS, LP",884481,0,0,0,0
"VITAL ENERGY, INC.",100951,0,0,0,0
"W.D.J. MANAGEMENT COMPANY",888017,0,0,0,0
"WALSH & WATTS, INC.",895060,2679,0,0,0
"WATERBRIDGE STATELINE LLC",900327,0,0,0,0
"WATERBRIDGE TEXAS OPERATING LLC",900329,0,0,0,0
"WATUSI ENERGY LLC",902551,15918,0,0,0
"WAYLANDER LLC",102814,0,0,0,0
"WES WATER HOLDINGS LLC",101366,0,0,0,0
"WESTERN GLOBAL OIL, INC",911915,0,0,0,0
"WESTERN RESERVES OIL COMPANY INC",912220,4384,1529,0,0
"WHEELER ENERGY, LLC",914192,40575,0,0,0
"WOLF ENERGY, INC.",935534,3932,6380,5034,358
"WPX ENERGY PERMIAN, LLC",942623,25739996,45909766,730392539,115145121
"XTO ENERGY INC.",945936,49936639,130576980,0,0
Total,,601407022,1448315933,1988430700,372705742
