"Search Criteria:"

"Initial View: County"
"Well Type: Both"
"County Name: MARTIN"
"Date Range: Jan 2020 - Mar 2026"

"Field Name","Field No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
WILDCAT,00018001,0,0,0,0
"ACKERLY (DEAN SAND)",00448200,230469,310635,0,0
"ANCHOR RANCH (DEVONIAN)",02557500,0,0,0,0
"AZALEA (SAN ANDRES)",04605600,0,0,0,0
"BELSPEC (STRAWN)",06979950,0,0,0,0
"BETTY SUE (DEVONIAN)",07629300,0,0,0,0
"BIZCO (DEVONIAN)",08495300,0,0,0,0
"BLOCK 7 (DEVONIAN)",09188250,7847,1103,0,0
BREEDLOVE,11751001,459535,0,0,0
"BREEDLOVE (SPRABERRY)",11751200,74587,3567,0,0
"BREEDLOVE, EAST (SPRABERRY)",11752666,49915,38478,0,0
"BREEDLOVE, SOUTH (DEAN)",11756270,0,0,0,0
"BREEDLOVE, SOUTH (SPRABERRY)",11756500,139601,118034,0,0
"BREEDLOVE ""B"" (CLEARFORK)",11762200,32649,29582,0,0
"BROOKING, NE (DEAN)",12213666,21511,108722,0,0
"CAPROCK, EAST (FUSSELMAN)",15501300,20204,0,0,0
"CAVE 60 (CANYON REEF)",16454075,0,0,0,0
"CEDAR BUSH (FUSSELMAN)",16545400,0,0,0,0
"CLEM (DEVONIAN)",18871400,0,0,0,0
"COMANCHE BLUFF (SILURIAN)",19868350,197020,0,0,0
"EAGLE (FUSSELMAN)",27067500,0,0,0,0
"EMMA (BARNETT SHALE)",28899040,12070196,47071208,8474974,1262789
"EPLEY (FUSSELMAN)",29195300,0,0,0,0
"FRAN-GLASS (PENNSYLVANIAN)",32491500,0,0,0,0
"GERMANIA (SAN ANDRES)",34563600,0,0,0,0
"GLADYS COWDEN (DEVONIAN)",35155200,0,0,0,0
"GLASS (GRAYBURG)",35215200,0,0,0,0
"GLASS, NORTH (WOLFCAMP)",35217500,0,0,0,0
"GLASS RANCH (LOWER WOLFCAMP)",35224300,8854,12626,0,0
"GORDON STREET (WOLFCAMP 9300)",35933750,5375,24825,0,0
"GORDON STREET, WEST (WOLFCAMP)",35940500,9806,7556,0,0
"GREENTREE,NORTH (STRAWN)",36758500,0,0,0,0
"HILL RANCH (FUSSELMAN)",41462400,0,0,0,0
"HILL RANCH (MISS)",41462666,8709,5836,0,0
"HUTEX (DEAN)",43878600,231,2377,0,0
"J. L. M. (MISSISSIPPIAN)",45073500,8283,955,0,0
"JACK BLACK (CISCO)",45270100,7176,5384,0,0
"JACO (STRAWN)",45455500,269,0,0,0
"JO-MILL, S. (SAN ANDRES)",46569500,0,0,0,0
"KIVA (DEV)",49790500,679814,2505165,0,0
"KNOTT, WEST (SPRABERRY)",49945800,20837,1121,0,0
"LACAFF (DEAN)",51152500,448,1499,0,0
"LACAFF (DEVONIAN)",51152510,0,0,0,0
"LACAFF (SPRABERRY)",51152680,4803,5247,0,0
"LACAFF (WOLFCAMP)",51152750,3004,3537,0,0
"LENORAH, WEST (DEAN)",53179333,0,0,0,0
"LENORAH, WEST (STRAWN)",53179666,0,0,0,0
"LOU ANN (FUSSELMAN)",55075200,0,0,0,0
"LOUDER (FUSSELMAN)",55076300,0,0,0,0
"LOWE (ATOKA)",55256030,723072,3780786,0,0
MABEE,56378001,666000,50485,0,0
"MABEE (STRAWN)",56378750,63389,450022,0,0
"MABEE NOVA (FUSSELMAN)",56381200,0,0,0,0
"MERCURY M. (FUSSELMAN)",60582200,227497,0,0,0
"MID-MAR, EAST (STRAWN)",61143800,1999,3054,0,0
"MOONLIGHT (ATOKA)",62703050,2292,4847,0,0
"MOONLIGHT (ELLENBERGER)",62703200,0,0,0,0
"MUSTANG DRAW (DEVONIAN)",64101500,0,0,0,0
"NUGGET (LOWER MISSISSIPPIAN)",66301220,160,13625,0,0
"NUGGET (SILURIAN)",66301400,6566,124,0,0
"P RANCH (DEVONIAN)",68228080,0,0,0,0
"PAUL PAGE (ATOKA)",69765200,23996,31686,26274,301
"PERRIWINKLE (CANYON)",70661300,57137,230597,0,0
"PERRIWINKLE, N. (CISCO)",70662300,10457,11703,0,0
"PETEY (FUSSELMAN)",70877200,19938,0,0,0
"PHOENIX (GRAYBURG)",71267500,66110,0,0,0
"PHOENIX, SOUTH (GRAYBURG)",71277500,65,0,0,0
"PLEASURE LAKE (FUSSELMAN)",71934270,31,0,0,0
"RK (DEVONIAN)",74041100,118031,11148,0,0
"RK (STRAWN)",74041300,109099,162587,0,0
"REEF EXPLORATION (DEVONIAN)",75545175,2,0,0,0
"SALE RANCH (STRAWN)",79768500,31962,106176,0,0
"SPRABERRY (TREND AREA)",85279200,0,0,0,0
"SPRABERRY (PENN.)",85280200,0,0,0,0
"SPRABERRY (TREND AREA)",85280300,1254792046,3099560632,14121,0
"SPRABERRY (TREND AREA) R 40 EXC",85280301,26109286,63096584,0,0
"SPRABERRY (WOLFCAMP, LOWER)",85280950,2830,1538,0,0
"SPRABERRY,E.(TR. AREA 7400-8860)",85283500,0,0,0,0
"SULPHUR DRAW (DEAN 8790)",87073333,160448,39580,0,0
"TEX-HAMON (DEAN)",88977284,2467,1432,0,0
"TOM RANCH (STRAWN)",90557500,43823,64977,0,0
"TOMAHAWK (FUSSELMAN)",90613200,0,0,0,0
"URSA (DEVONIAN)",92778080,0,0,0,0
"WEDGE (CANYON REEF)",95792075,0,0,0,0
Total,,1297299846,3217879040,8515369,1263090
