"Search Criteria: "

"Initial View: County"
"Well Type: Both"
"County Name: MARTIN"
"Date Range: Jan 2020 - Mar 2026"

"Lease Name","Lease No.","District No.","Well No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"176 BRINE",47517,08," ",0,0,0,0
"3033 SWD",40825,08," ",0,0,0,0
"3601 SWD",51824,08," ",0,0,0,0
"7H SWD",53852,08," ",0,0,0,0
"A LLOYD 48",45444,08," ",41086,20929,0,0
"ABRAXAS ""20""",41575,08," ",25191,2684,0,0
"ABRAXAS ""27""",38506,08," ",10329,2406,0,0
"ABRAXAS ""27A""",38712,08," ",5519,725,0,0
"ABRAXAS ""28""",38612,08," ",4926,627,0,0
"ABRAXAS ""28A""",39653,08," ",2638,316,0,0
"ABRAXAS ""28C""",38831,08," ",5233,353,0,0
"ABRAXAS ""30""",38748,08," ",8554,248,0,0
"ABRAXAS ""30-B""",38922,08," ",9806,797,0,0
"ABRAXAS ""31""",38576,08," ",2176,135,0,0
"ABRAXAS ""31B""",42106,08," ",5806,958,0,0
"ABRAXAS ""31C""",39038,08," ",9961,755,0,0
"ABRAXAS ""32""",38852,08," ",14323,2262,0,0
"ABRAXAS ""32-B""",41949,08," ",9075,1562,0,0
"ABRAXAS ""32A""",38713,08," ",5029,428,0,0
"ABRAXAS '16'",43403,08," ",42876,8592,0,0
"ABRAXAS '27B'",43379,08," ",11876,639,0,0
"ABRAXAS '28B'",44206,08," ",3402,396,0,0
"ABRAXAS '28D'",45625,08," ",6314,664,0,0
"ABRAXAS '30A'",43670,08," ",16536,1362,0,0
"ABRAXAS '31A'",43176,08," ",6471,657,0,0
"ABRAXAS '32C'",43683,08," ",5837,792,0,0
"ABRAXAS 28E",46014,08," ",3599,397,0,0
"ABU GARCIA  28-16 N",61973,08," ",236938,632732,0,0
"ABU GARCIA 28-16 A",61951,08," ",201541,352495,0,0
"ABU GARCIA 28-16 B",61950,08," ",184190,376419,0,0
"ABU GARCIA 28-16 C",62068,08," ",253428,422453,0,0
"ABU GARCIA 28-16 D",61921,08," ",190417,301637,0,0
"ABU GARCIA 28-16 E",61978,08," ",314468,576106,0,0
"ABU GARCIA 28-16 F",61930,08," ",233974,433008,0,0
"ABU GARCIA 28-16 G",61669,08," ",828171,2310632,0,0
"ABU GARCIA 28-16 H",61961,08," ",251745,487948,0,0
"ABU GARCIA 28-16 I",61962,08," ",285824,480678,0,0
"ABU GARCIA 28-16 J",62189,08," ",734122,1916290,0,0
"ABU GARCIA 28-16 K",61959,08," ",262198,524192,0,0
"ABU GARCIA 28-16 L",61966,08," ",279158,529323,0,0
"ABU GARCIA 28-16 O",61963,08," ",288263,823636,0,0
"ABU GARCIA 28-16 Q",62107,08," ",226857,724475,0,0
"ABU GARCIA 28-16 R",62071,08," ",304508,689200,0,0
"ABU GARCIA 28-16 T",61924,08," ",243796,944933,0,0
"ABU GARCIA 28-16 U",61964,08," ",250085,902133,0,0
"ABU GARCIA 28-16 W",61841,08," ",251999,834259,0,0
"ABU GARCIA 28-16 X",61965,08," ",270775,969792,0,0
"ACHILLES 7-24 UNIT 1",62590,08," ",620507,829917,0,0
"ACKERLY '15'",71270,8A," ",0,0,0,0
"ACKERLY BARBER 19",44321,08," ",120604,172597,0,0
"ACKERLY BOND 23A",45598,08," ",11350,16357,0,0
"ACKERLY BROWN 9",44796,08," ",36253,43108,0,0
"ACKERLY DAVENPORT 16A",46013,08," ",24158,51416,0,0
"ACKERLY DYER 19",44921,08," ",3663,2172,0,0
"ACKERLY HALE 29",44661,08," ",13868,9484,0,0
"ACKERLY JEFFCOAT 23",44625,08," ",9941,12785,0,0
"ACKERLY LANGHAM 24",43904,08," ",24708,41193,0,0
"ACKERLY NICHOLS 19",47176,08," ",14654,14647,0,0
"ACKERLY STOKES 21",45332,08," ",20097,16848,0,0
"ACKERLY SWD",61264,08," ",0,0,0,0
"ACKERLY WIGGINS 30",45164,08," ",50442,501717,0,0
"ACL UNIT A",58509,08," ",585528,739094,0,0
"ACL UNIT B",58514,08," ",696810,858757,0,0
"ACT A",50678,08," ",119853,1109855,0,0
"ACT B",50772,08," ",136527,1219678,0,0
"ACT D",50567,08," ",94276,1248823,0,0
"ACT E",50532,08," ",216724,2394307,0,0
"ACT F",50516,08," ",194009,1551558,0,0
"ACT G",50740,08," ",204093,1294130,0,0
"ADAMS ""2""",42598,08," ",4910,4664,0,0
"ADAMS 47",42478,08," ",16407,30367,0,0
ADOBE-HYATT,30421,08," ",4119,742,0,0
"AGGIE THE BULLDOG 39-46 A",53611,08," ",761954,1730755,0,0
"AGGIE THE BULLDOG 39-46 B",53612,08," ",352312,1845396,0,0
"AGGIE THE BULLDOG 39-46 C",53613,08," ",507600,1994260,0,0
"AGGIE THE BULLDOG 39-46 D",53614,08," ",560237,2227574,0,0
"AGGIE THE BULLDOG 39-46 E",53615,08," ",1104507,2656452,0,0
"AIRFLO 9-4 A",63357,08," ",324875,588646,0,0
"AIRFLO 9-4 B",63358,08," ",345980,652435,0,0
"AIRFLO 9-4 C",63359,08," ",335786,593260,0,0
"AIRFLO 9-4 D",63413,08," ",352008,630570,0,0
"AIRFLO 9-4 E",63360,08," ",399130,736012,0,0
"AIRFLO 9-4 F",63363,08," ",375220,615407,0,0
"AIRFLO 9-4 G",63361,08," ",140020,211182,0,0
"AIRFLO 9-4 N",63362,08," ",177490,439344,0,0
AIRHART,40844,08," ",15721,22162,0,0
"AIRHART ""7""",39253,08," ",13595,1180,0,0
"AIRHART COLE 54",44725,08," ",70745,213909,0,0
"ALBERT 17",43799,08," ",31268,79333,0,0
"ALBERT TRUST",17521,8A," ",4034,6230,0,0
"ALEX '20'",38128,08," ",16752,4846,0,0
ALHANCO-THAMES,45375,08," ",6121,739,0,0
ALICO,27890,08," ",5312,2635,0,0
"ALICO -A-",31069,08," ",4739,6871,0,0
ALISON,32292,08," ",6285,0,0,0
ALLAR,23931,08," ",0,0,0,0
"ALLAR ""11""",38885,08," ",13708,21070,0,0
"ALLAR ""17A""",38833,08," ",2379,3842,0,0
"ALLAR ""19""",38730,08," ",9077,9894,0,0
"ALLAR ""27""",38750,08," ",3486,4398,0,0
"ALLAR ""3""",38868,08," ",972,1239,0,0
"ALLAR ""45""",36871,08," ",62708,0,0,0
"ALLAR -37A-",43933,08," ",23985,47534,0,0
"ALLAR 1",39566,08," ",98463,97676,0,0
