"Search Criteria:"

"Initial View: County"
"Well Type: Both"
"County Name: MARTIN"
"Date Range: Jan 2020 - Mar 2026"

"Operator Name","Operator No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"AGHORN OPERATING, INC.",008716,0,0,0,0
"AGUA LIBRE MIDSTREAM LLC",008742,0,0,0,0
"ALAMAR VENTURES, INC.",102325,0,0,0,0
"APACHE CORPORATION",027200,2433344,3197018,0,0
"AQUA TERRA PERMIAN, LLC",028618,0,0,0,0
"ARYA RESOURCES, LLC",033842,123642,507003,0,0
"AVID ENERGY ASSETS LLC",101508,26397,11089,0,0
"AVRA OIL COMPANY",038723,583,0,0,0
"BAM PERMIAN OPERATING, LLC",048351,30711,30102,0,0
"BARNETT ENERGY, INC.",051290,20832,26871,0,0
"BEACH EXPLORATION, INC.",058915,92087,181440,0,0
"BEDROCK ENERGY PARTNERS, LLC",103680,0,0,0,0
"BEDROCK PRODUCTION, LLC",061620,6945,5570,0,0
"BIRCH OPERATIONS, INC.",071331,35225124,120148799,0,0
"BLACK ARROW OPERATING, LLC",072503,265336,7670,0,0
"BLACK SWAN OPERATING, LLC",072762,5716200,5004215,0,0
"BLACKBUCK-N DEEP, LLC",072509,0,0,0,0
"BURLESON PETROLEUM, INC.",109255,27262,17644,0,0
"CALLON PETROLEUM OPERATING CO",124828,1397994,2518662,0,0
"CHEVRON U. S. A. INC.",148113,16737161,22850862,0,0
"CHISOS, LTD.",149421,16544,19663,0,0
"CIMAREX ENERGY CO. OF COLORADO",153429,0,0,0,0
"CIVITAS PERMIAN OPERATING, LLC",101577,5549994,21825163,2496,0
"CLEAR WATER INC.",159643,0,0,0,0
"COASTAL PLAINS ENERGY, INC.",161671,101696,157052,0,0
"COBRA OIL & GAS CORPORATION",163000,19183,0,0,0
"COG OPERATING LLC",166150,44042125,80698336,0,0
"COPPER RIDGE RESOURCES LLC",177030,17,0,0,0
"CROSSFOOT OPERATING, LLC",190674,0,0,0,0
"CROSSTEX SERVICES, L.L.C.",190661,78,0,0,0
"CROWNQUEST OPERATING, LLC",191554,30896801,100234531,0,0
"CUTBOW OPERATING, LLC",195763,11143468,17932222,0,0
"DE IV OPERATING, LLC",100168,14276050,20950160,0,0
"DE3 OPERATING LLC",518310,2939195,4512190,0,0
