"Search Criteria:"

"Initial View: County"
"Well Type: Both"
"County Name: MIDLAND"
"Date Range: Jan 2020 - Mar 2026"

"Field Name","Field No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
WILDCAT,00018001,0,0,0,0
"AGAR (ATOKA, LOWER)",00782500,0,0,0,0
"AZALEA (ATOKA)",04605080,32096,690116,0,0
"AZALEA (DEVONIAN)",04605222,34787,579012,626497,11402
"AZALEA (FUSSELMAN)",04605333,0,0,0,0
"AZALEA (GRAYBURG)",04605444,79613,2003,0,0
"AZALEA (SAN ANDRES)",04605600,14891,0,0,0
"AZALEA (STRAWN)",04605666,68959,137258,198803,1256
"AZALEA (WOLFCAMP)",04605888,14264,38238,0,0
"AZALEA, EAST (WOODFORD)",04607550,16954,222423,0,0
"AZALEA,EAST (STRAWN)",04607600,30026,60754,0,0
"BETTY SUE (DEVONIAN)",07629300,12789,259780,0,0
"BRADFORD RANCH (ATOKA)",11240500,0,0,340674,430
"BRADFORD RANCH (STRAWN)",11240600,0,0,0,0
"BRAZOS (SAN ANDRES)",11601500,49642,0,0,0
"BRYANT -G- (DEVONIAN)",12763333,21755,403230,473739,10002
"BRYANT -G- (STRAWN)",12763666,0,0,0,0
"DESPERADO (ATOKA)",24396100,629,7712,0,0
"DORA ROBERTS (CONSOLIDATED)",25395100,1524912,8828291,741388,21343
"DORA ROBERTS (DEVONIAN)",25395166,6238,419797,5319723,64117
"DORA ROBERTS (ELLENBURGER)",25395332,108619,348871,0,0
"DORA ROBERTS (FUSSELMAN)",25395498,2296,6691,0,0
"EMMA (BARNETT SHALE)",28899040,1562968,7546753,4227731,903748
"FRYSAK FARMS (DEVONIAN)",33154200,0,0,66844,2004
"GERMANIA (GRAYBURG)",34563400,275137,33697,0,0
"GERMANIA (SAN ANDRES)",34563600,0,0,0,0
"GLASS (GRAYBURG)",35215200,0,0,0,0
"HALLANAN (STRAWN)",38227333,0,0,0,0
"HEADLEE (DEVONIAN)",39969400,0,0,0,0
"HEADLEE (ELLENBURGER)",39969600,0,0,0,0
"HEADLEE (FUSSELMAN)",39969650,15287,12712,0,0
"HI-LONESOME (PENNSYLVANIAN)",40975664,8191,73484,0,0
"HI-LONESOME (WOLFCAMP)",40975830,2242,1302,0,0
"HILL RANCH (MISS)",41462666,15173,52338,0,0
"HORSELOT (STRAWN)",42711500,11306,4170,0,0
"J. L. M. (MISSISSIPPIAN)",45073500,0,0,0,0
"KIVA (DEV)",49790500,116009,665421,0,0
"MIDLAND, EAST (DEVONIAN)",61098500,15248,114910,0,0
"MIDLAND, SW. (DEVONIAN)",61103200,0,0,284219,21381
"MID-MAR, EAST (FUSSELMAN)",61143400,0,0,0,0
"MID-MAR, EAST (STRAWN)",61143800,8850,16453,0,0
"MIDWEST (SPRABERRY-DEAN)",61221650,12616,60742,0,0
"MOONLIGHT (ELLENBERGER)",62703200,0,0,0,0
"MOONLIGHT (MISSISSIPPIAN)",62703400,40773,201175,0,0
"MOONLIGHT, WEST (ELLENBURGER)",62708300,0,0,0,0
"MOOSE (QUEEN)",62781500,176171,3420,0,0
"PARKS, S. (BEND, LOWER)",64242050,0,0,0,0
"PARKS (CONSOLIDATED)",69233125,108221412,293106106,1653511,70476
"PARKS (DEVONIAN)",69233166,0,0,5108401,105596
"PARKS (FUSSELMAN-MONTOYA)",69233400,37438,161044,0,0
"PARKS, N. (PENN.)",69235333,0,0,0,0
"PARKS, S. (PENNSYLVANIAN)",69242460,27519,271687,0,0
"PARSLEY (ATOKA)",69440100,5458,365766,0,0
"PARSLEY (DEVONIAN)",69440200,0,0,0,0
"PAUL PAGE (ATOKA)",69765200,0,0,0,0
"PEART (BARNETT)",69996200,267373,1986730,0,0
"PEGASUS (CONSOLIDATED)",70279100,14920092,87303224,341202,2255
"PEGASUS (DEVONIAN)",70279125,23626,352967,1754791,29158
"PEGASUS (ELLENBURGER)",70279250,33585,59756,0,0
"PEGASUS (FUSSELMAN)",70279375,0,0,0,0
"PEGASUS (SAN ANDRES)",70279625,71626,0,0,0
"RK (DEVONIAN)",74041100,0,0,0,0
"RAB (WOLFCAMP, LOWER)",74089475,0,0,0,0
"ROSE PETAL (LOWER MISS.)",78285500,135551,968929,0,0
"ST. RITA (DEVONIAN)",79730100,0,0,0,0
"SALLIE ANN (SPRABERRY-WOLFCAMP)",79820800,5905,7432,0,0
"SANTA ROSA (TANSIL)",80925915,0,0,0,0
"SCHARBAUER RANCH (ATOKA)",81407200,0,0,0,0
"SPRABERRY (TREND AREA)",85279200,1425332,3369559,0,0
"SPRABERRY (TREND AREA) R 40 EXC",85279201,703093,12792270,0,0
"SPRABERRY (PENN.)",85280200,0,0,0,0
"SPRABERRY (TREND AREA)",85280300,1119241146,3628482207,433327,8176
"SPRABERRY (TREND AREA) R 40 EXC",85280301,129676142,787058075,216017,2046
"SPRABERRY (TREND AREA CL. FK.)",85280400,0,0,0,0
"SPRABERRY (TREND AREA DEV.)",85280600,0,0,0,0
"STA (ATOKA)",85448150,78,9427,0,0
"STO-WIL (FUSSELMAN)",86203500,0,0,0,0
"SWEETIE PECK (DEVONIAN)",87599142,353,131842,695494,11524
"SWEETIE PECK (PENNSYLVANIAN)",87599568,1425,24314,0,0
"SWEETIE PECK (WOLFCAMP, LO.)",87599852,0,0,0,47
"VIREY (CONSOLIDATED)",93958100,0,0,0,0
"VIREY (ELLENBURGER)",93958250,212153,375175,0,0
"VIREY (FUSSELMAN)",93958375,30713,76676,0,0
"VIREY (QUEEN)",93958525,50908,0,0,0
"WAR-SAN (CONSOLIDATED)",95108090,0,0,0,0
"WAR-SAN (DEVONIAN)",95108125,2869,38129,0,0
"WAR-SAN (DEVONIAN-OIL)",95108250,594,12762,16981,0
"WAR-SAN (ELLENBURGER)",95108375,66253,94239,0,0
"WAR-SAN (FUSSELMAN)",95108500,31081,26236,0,0
"WAR-SAN (SAN ANDRES)",95108750,0,0,0,0
"WARFIELD (ELLENBURGER)",95237284,0,0,0,0
"WARFIELD (FUSSELMAN)",95237426,42,0,0,0
"WARFIELD (WOLFCAMP)",95237852,1044,509,0,0
"ZANT (SAN ANDRES)",99649500,0,0,0,0
Total,,1379471252,4837865814,22499342,1264961
