"Search Criteria: "

"Initial View: County"
"Well Type: Both"
"County Name: MIDLAND"
"Date Range: Jan 2020 - Mar 2026"

Date,"Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
" Jan 2020",17030249,41328706,321266,6888
" Feb 2020",15772319,38415798,312327,6636
" Mar 2020",17266683,44144100,370431,7230
" Apr 2020",15963725,43160681,339924,6056
" May 2020",14639625,40822467,337548,5265
" Jun 2020",15936333,43309365,300023,4791
" Jul 2020",16656274,48469586,315319,4996
" Aug 2020",16088773,49640294,327945,5572
" Sep 2020",15105744,48817628,304174,5215
" Oct 2020",15536200,49882520,296650,5165
" Nov 2020",15360769,47967512,273196,4596
" Dec 2020",16319239,50057762,287381,6097
" Jan 2021",16387771,50366003,260263,5204
" Feb 2021",12020070,34068713,205456,4195
" Mar 2021",17963436,50396144,307078,5807
" Apr 2021",16573858,51328346,303272,6118
" May 2021",17014976,54367558,303031,6653
" Jun 2021",16103431,52536831,272736,6097
" Jul 2021",16571998,55581941,299071,6121
" Aug 2021",16657446,55471810,292285,6277
" Sep 2021",15971241,53620799,284765,4920
" Oct 2021",17525957,55836228,293483,5575
" Nov 2021",17718771,55591702,286335,6320
" Dec 2021",18634167,58416941,277909,6290
" Jan 2022",17874265,55908770,297714,6232
" Feb 2022",15566902,48858891,240974,5279
" Mar 2022",18348557,58445699,270509,5729
" Apr 2022",17981225,56822878,263707,6425
" May 2022",18267524,58961332,278714,5344
" Jun 2022",18175991,58198941,245013,4242
" Jul 2022",18710102,61101484,263543,4654
" Aug 2022",19224427,62801081,273784,5739
" Sep 2022",18776788,62180516,258747,4839
" Oct 2022",20193868,66004326,241653,4635
" Nov 2022",19516249,63814421,226332,4974
" Dec 2022",19042183,63830997,223919,5167
" Jan 2023",18970868,64308792,203507,4943
" Feb 2023",17239767,58402371,187385,3892
" Mar 2023",19545034,67498440,244432,4678
" Apr 2023",19170247,66727883,241859,5222
" May 2023",20270076,70481846,254774,4956
" Jun 2023",19924223,68258240,243081,4321
" Jul 2023",21304745,72007195,277641,5231
" Aug 2023",20376909,72844755,249406,4744
" Sep 2023",18210223,68983836,267487,5498
" Oct 2023",19608647,71648302,271652,5654
" Nov 2023",19493072,70939200,213100,5126
" Dec 2023",20404300,74120352,205060,4954
" Jan 2024",19080048,70120042,209527,5619
" Feb 2024",18376058,68815516,210857,4694
" Mar 2024",19523234,75092836,228868,4454
" Apr 2024",18718151,73131634,218101,3854
" May 2024",18754389,74156061,225151,4612
" Jun 2024",19084615,74129085,190933,3516
" Jul 2024",19742451,77870894,171202,2872
" Aug 2024",19857608,79309552,221027,4571
" Sep 2024",19219785,77575372,183537,3786
" Oct 2024",21060449,81754558,212378,4654
" Nov 2024",20512265,79102023,183652,4069
" Dec 2024",20833214,81775555,185890,4100
" Jan 2025",21033946,80481625,197220,4462
" Feb 2025",18792688,72018103,169250,3342
" Mar 2025",20452070,79688503,167955,2247
" Apr 2025",19766733,79293872,252333,42184
" May 2025",20303519,82748088,380877,59497
" Jun 2025",20198276,81995771,479378,79837
" Jul 2025",20594624,84669473,581260,88296
" Aug 2025",20405235,84820251,693893,106899
" Sep 2025",20065013,81878822,685108,114599
" Oct 2025",20503992,83567730,701114,103520
" Nov 2025",19644692,82136006,536741,80284
" Dec 2025",19931297,83875874,585007,79713
" Jan 2026",19020174,77704772,544357,69899
" Feb 2026",17870493,71829506,471787,38570
" Mar 2026",19110986,81574307,496078,80249
Total,1379471252,4837865814,22499342,1264961
