"Search Criteria: "

"Initial View: County"
"Well Type: Both"
"County Name: REEVES"
"Date Range: Jan 2020 - Mar 2026"

"Lease Name","Lease No.","District No.","Well No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"""CACO-STATE  216-13""",43345,08," ",10140,23162,0,0
"/GULF/ TXL",18458,08," ",0,0,0,0
"007 SWD",48614,08," ",0,0,0,0
"1450 BRINE",51041,08," ",0,0,0,0
"1450 SWD",54183,08," ",0,0,0,0
"20001 JV-P PENWELL",192195,08," 1",0,0,0,0
"2119 BRINE",57347,08," ",0,0,0,0
"7710 JV-P CHAPMAN",076967,08," 1",0,0,0,0
"A CLASSIC DASH 18",290936,08," 1H",0,0,1489752,203673
"A CLASSIC DASH 18",297109,08," 2H",0,0,0,0
"A CLASSIC DASH 18",51555,08," ",0,0,0,0
"A CLASSIC DASH 18-15",294721,08," 2H",0,0,1482204,263556
"A CLASSIC DASH 18-15",56189,08," ",3427,12625,0,0
"AARDVARK STATE 6",50691,08," ",86856,174548,0,0
"ABACO STATE DEEP UNIT",298962,08," 222H",0,0,526509,125672
"ABACO STATE DEEP UNIT",61085,08," ",1,181,0,0
"ABACO STATE SHALLOW UNIT",298774,08," 131H",0,0,601429,160211
"ABACO STATE SHALLOW UNIT",298775,08," 1301H",0,0,439103,118081
"ABACO STATE SHALLOW UNIT",298784,08," 1302H",0,0,414750,132655
"ABRAM SWD",55373,08," ",0,0,0,0
ACE,283213,08," L 06H",0,0,2082064,218525
"ACE IN THE HOLE",57310,08," ",1923515,3185770,0,0
"ADCOCK 21-51-8",45976,08," ",66028,92248,0,0
"ADMIRAL 4-48 47",284860,08," 1H",0,0,775195,157642
ADOBE,48634,08," ",45268,167118,0,0
"ADOBE A",50110,08," ",152745,774631,0,0
"ADOBE B",50111,08," ",123555,804817,0,0
"ADOBE C",51278,08," ",152789,699921,0,0
"ADOBE CHEVELLE A",61810,08," ",324520,670552,0,0
"ADOBE CHEVELLE B",61811,08," ",297584,705070,0,0
"ADOBE CHEVELLE C",61812,08," ",345418,874956,0,0
"ADOBE CHEVELLE D",61813,08," ",318973,648435,0,0
"ADOBE D",51279,08," ",113609,424217,0,0
"ADOBE E",51280,08," ",163540,575462,0,0
"AFFIRMED 48",47299,08," ",166247,548582,0,0
"AFFIRMED 48",62809,08," ",22256,39746,0,0
"AFFIRMED 48 WEST",61382,08," ",971,3580,0,0
