"Search Criteria: "

"Initial View: County"
"Well Type: Both"
"County Name: REEVES"
"Date Range: Jan 2020 - Mar 2026"

Date,"Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
" Jan 2020",9438964,23780224,76198520,9006846
" Feb 2020",8729863,22351615,70691116,8449768
" Mar 2020",8848597,23206456,71406898,8854008
" Apr 2020",8308387,22090189,62682903,8312052
" May 2020",7465451,19612982,59732137,7270292
" Jun 2020",7069492,19080418,66735616,7470198
" Jul 2020",7396040,20553362,70664941,8203602
" Aug 2020",7275842,20828513,71011375,8173997
" Sep 2020",6900441,20099927,66228821,7461217
" Oct 2020",6958091,20258305,65790478,7865528
" Nov 2020",6728004,19483516,66718468,7689341
" Dec 2020",6598781,19896651,66575501,7892164
" Jan 2021",6716992,18314111,68085402,8227051
" Feb 2021",5096673,13320429,53344132,6364851
" Mar 2021",6688321,18317454,68841402,7944136
" Apr 2021",6302707,18456224,69874506,7616709
" May 2021",6692480,20278750,68825732,7920296
" Jun 2021",6302618,19550672,66251987,7535286
" Jul 2021",6992176,20431587,70535354,7837818
" Aug 2021",6609272,20362283,69037557,7654751
" Sep 2021",6273899,19897118,68500026,8065873
" Oct 2021",6402788,20336655,70933348,8502368
" Nov 2021",6278642,18694517,68848372,8257975
" Dec 2021",6468282,19782895,71612292,8501441
" Jan 2022",6184081,18445409,69801634,8075106
" Feb 2022",5485306,16252549,64378578,7374882
" Mar 2022",6604403,19093233,75693439,8855052
" Apr 2022",6357448,19073228,73889762,8502082
" May 2022",6447990,19774905,74180756,8284728
" Jun 2022",6201279,18673514,71533015,8002844
" Jul 2022",6625496,19663164,73949834,8210086
" Aug 2022",6293764,18948245,75126742,8389707
" Sep 2022",6031374,18699273,74687150,8315445
" Oct 2022",6302722,19221126,74431641,7934900
" Nov 2022",6121136,18169586,69269503,7570849
" Dec 2022",6410577,18141655,69231583,7817814
" Jan 2023",6603221,18271244,72441768,8247226
" Feb 2023",5883131,16474445,65090203,7316517
" Mar 2023",6687743,19637153,73609661,8276280
" Apr 2023",6831583,20373772,71238627,7794190
" May 2023",7079053,20340978,75250591,8343866
" Jun 2023",6547320,19969481,71171571,7777973
" Jul 2023",6606741,20392003,73840228,8243458
" Aug 2023",6855920,20979450,79281200,8863518
" Sep 2023",7147765,21498930,77617679,8667573
" Oct 2023",7240472,21505476,80667051,8936670
" Nov 2023",6725550,19714447,75572023,8400762
" Dec 2023",6762528,20983563,79918929,8862584
" Jan 2024",6784354,20385045,77922610,8301653
" Feb 2024",6381595,19311198,69040707,7778398
" Mar 2024",7142201,21172414,75006312,8361834
" Apr 2024",7074090,20886377,72722228,8513599
" May 2024",7414600,21992900,76601960,8954292
" Jun 2024",7075547,21163925,75743523,8672716
" Jul 2024",7051070,21469064,77724680,8934934
" Aug 2024",6939766,21065496,77129780,8750251
" Sep 2024",6958998,20891835,72477116,8135704
" Oct 2024",7181857,21835137,79552843,8707484
" Nov 2024",6904742,20933176,72535730,8066856
" Dec 2024",6782002,20332860,80718266,8292930
" Jan 2025",6363720,19308544,79720700,7938284
" Feb 2025",6053709,18240071,73779125,7369274
" Mar 2025",7406061,21238320,82691596,8658969
" Apr 2025",7160183,20445011,78490375,8175453
" May 2025",7533740,23136624,86009158,8705906
" Jun 2025",7094025,21842355,79597840,7820051
" Jul 2025",7148087,22231707,85007786,8389514
" Aug 2025",6810458,21986715,85512185,8411441
" Sep 2025",6311398,20756765,80240286,8130677
" Oct 2025",6505302,20999691,75904220,7861772
" Nov 2025",6565361,21674204,77024524,8047578
" Dec 2025",7030339,23020802,80011891,8363174
" Jan 2026",6450339,20948331,76989144,7790160
" Feb 2026",5849687,19515296,71823462,7066485
" Mar 2026",6193492,21556033,74951995,7702514
Total,508746129,1511621578,5485930094,610043583
