"Search Criteria:"

"Initial View: County"
"Well Type: Both"
"County Name: REEVES"
"Date Range: Jan 2020 - Mar 2026"

"Operator Name","Operator No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"1836 WATER VENTURES LLC",623069,0,0,0,0
"1920 ENERGY, LLC",194397,0,0,21598396,1576285
"3:16 DISPOSAL SYSTEMS,SERIES LLC",953559,0,0,0,0
"ABRAXAS PETROLEUM CORPORATION",003125,0,0,629501,166
"ADMIRAL PERMIAN OPERATING LLC",100158,0,0,3619716,326202
"ADVANCE HYDROCARBON CORPORATION",008484,0,0,0,0
"AGUA LIBRE MIDSTREAM LLC",008742,0,0,0,0
"ALCHEMIST ENERGY, LLC",011198,0,0,9755696,1452765
"ALCON H2OIL LLC",011255,645,0,0,0
"ANADARKO E&P ONSHORE LLC",020528,12940491,53185927,678445318,122886779
"ANTELOPE ENERGY PARTNERS, LLC",101239,0,0,0,0
"APACHE CORPORATION",027200,5144964,17336176,914959076,22021072
"APC WATER HOLDINGS 1, LLC",027348,0,0,0,0
"APR OPERATING LLC",028612,0,0,24060352,1535655
"APV MCCAMEY LLC",028617,0,0,0,0
"AQUA TERRA PERMIAN, LLC",028618,0,0,0,0
"ARABELLA OPERATING, LLC",028704,0,0,0,0
"ARCH OIL & GAS, LLC",029272,64930,0,100855,3844
"ARETE CREEK OPERATING, LLC",103102,0,0,2134989,618835
"BASIC ENERGY SERVICES, L.P.",054313,0,0,0,0
"BASIN OIL & GAS OPERATING, LLC",054430,0,0,3259,0
"BAYLOR OPERATING, LLC",058832,0,0,39098,0
"BEACH EXPLORATION, INC.",058915,0,0,0,0
"BETTIS, BOYLE & STOVALL",068360,50015,21912,0,0
"BISON EXPLORATION DRILLING 1, LP",072515,0,0,0,0
"BLACKBEARD OPERATING, LLC",073056,0,0,0,0
"BLUE ARROW OPERATING, LLC",101375,725156,2231351,0,0
"BLUE OX RESOURCES OPERATING LLC",100096,406267,1159763,0,0
"BOYD & MCWILLIAMS ENERGY GROUP",084545,76969,0,0,0
"BPX MIDSTREAM LLC",085409,0,0,0,0
"BPX OPERATING COMPANY",085408,1870250,9028923,598859697,91151348
"BPX PERMIAN JV HOLDINGS LLC",104464,0,0,0,0
"BRIGHAM OPERATING, LLC",092825,0,0,5496817,1377271
"BRINE TEXAS USA, LLC",093394,0,0,0,0
"BTA OIL PRODUCERS, LLC",041867,115245,449309,60623254,10269035
"BUSTAMANTE RESOURCES LLC",112682,0,0,0,0
"CAIRD OPERATING, LLC",123132,169422,1206862,9467,0
"CALLON (PERMIAN) LLC",124807,14531,26478,163314194,19262484
"CALLON PETROLEUM OPERATING CO",124828,16959428,54817420,0,0
"CAMBRIAN MANAGEMENT, LTD.",126758,753,29132,0,0
"CAPITAN ENERGY, INCORPORATED",130061,0,0,14030278,1301035
"CAPROCK FIELD SERVICES LLC",130483,0,0,0,0
"CARBURANTE EXPLORATION CO, LTD.",130787,0,0,0,0
"CARRIZO (PERMIAN) LLC",135317,956,1220,3218176,388332
"CENTENNIAL RESOURCE PROD, LLC",141077,21383511,77721710,83042879,8050433
"CH4 ENERGY SIX, LLC",142193,33275,14442,0,0
"CHANCE PROPERTIES CO.",144184,0,0,0,0
"CHEVRON MIDCONTINENT, L.P.",147862,10,4770,3044281,222
"CHEVRON U. S. A. INC.",148113,38027236,88689494,11444083,27335
"CHI OPERATING, INC.",148123,0,0,0,0
"CHISOS OPERATING, INC.",149441,0,0,822311,1045
"CIMAREX ENERGY CO.",153438,2052292,13920062,413894795,55499691
"CIMAREX ENERGY CO. OF COLORADO",153429,0,0,0,0
"CIVITAS PERMIAN OPERATING, LLC",101577,2236692,6226318,5267670,1708555
"CLR SECONDARY RECOVERY, LLC",101415,0,0,0,0
"CM ORLA RANCH, LLC",161432,0,0,0,0
"COCKERHAM, JERRY",163940,0,0,0,0
"COG OPERATING LLC",166150,33296911,101679209,12918553,1881960
"COLGATE OPERATING, LLC",167327,11256447,39850554,62062839,11183765
"CONCHO OILFIELD SERV & OPER CO.",170164,0,0,0,0
"CONOCOPHILLIPS COMPANY",172232,698780,1990848,251251626,29723111
"CONTANGO RESOURCES, INC.",173206,0,0,0,0
"CONTANGO RESOURCES, LLC",100222,0,0,4764714,0
"CONTINENTAL RESOURCES, INC.",173777,12885197,28816466,58698,0
"COTERRA ENERGY OPERATING CO.",103285,85508,630915,29747343,3178545
"COYOTE OIL & GAS, INC.",186310,0,0,0,0
"CP EXPLORATION III OPERATING,LLC",186304,0,0,1218122,314159
"CPX ENERGY OPERATING, LLC",101714,0,0,1400419,237272
"CR FIELD SERVICES, LLC",186351,0,0,0,0
"CRESCENT ENERGY OPERATING, LLC",103575,1268612,5116824,1008342,77752
"CUMMING COMPANY, INC. THE",194204,121,0,0,0
"DACO OPERATING, LLC",196936,0,0,0,0
"DAKOTA RESOURCES, INC. (I)",197416,0,0,36171,0
"DAYLIGHT PETROLEUM LLC",208171,62211,157990,0,0
"DBM WATER SERVICES, LLC",195777,0,0,0,0
"DEI GRATIA OPERATING LLC",103898,0,0,0,0
"DIAMONDBACK E&P LLC",217012,46243501,195135864,25149997,4056372
"DISCOVERY OPERATING, INC.",220865,15886,258,0,0
"DSR OIL & GAS, INC.",196901,2297,0,0,0
"E. & M. TECH INC.",238065,0,0,0,0
"ELEMENT PETROLEUM OPERATING IV,",102343,2180,0,0,0
"ELENDIL RESOURCES LLC",101740,5264,0,0,0
"ELITEENERGYHOLDINGS LLC",103834,684,6127,1270,39
"ELK RIVER RESOURCES, LLC",247760,605959,2045232,0,0
"ENCORE PERMIAN OPERATING, LLC",251854,0,0,2365558,192762
"ENDEAVOR ENERGY RESOURCES L.P.",251726,175231,440250,314734,0
"ENERGY TRANSFER COMPANY",252017,0,0,0,0
"ENHANCED MIDSTREAM, LLC",251744,0,0,0,0
"ENSTOR WAHA STORAGE & TRANS LP",253364,0,0,0,0
"ENTERPRISE PRODUCTS OPERATINGLLC",253368,0,0,0,0
"EOG RESOURCES, INC.",253162,294246,2030238,669881596,60202398
"EQV OPERATING LLC",101634,0,0,28173054,1474551
"EXTEX OPERATING COMPANY",257062,6645,36538,370129,207
"FDL OPERATING, LLC",263924,0,0,3551780,0
"FED OPERATING LLC",264211,96925,1268511,870806,54455
"FINLEY RESOURCES, INC.",268602,16222,47295,2083560,146
"FLAT CREEK RESOURCES, LLC",271649,32683,77993,18368,0
"FORGE ENERGY OPERATING, LLC",276873,5141967,14373355,2114840,159773
"FRANKLIN MOUNTAIN KC OP TX, LLC",283643,0,0,0,0
"G P II ENERGY, INC.",292232,914,5091,0,0
"GOODNIGHT MIDSTREAM PERMIAN, LLC",315075,0,0,0,0
"GORDY OIL COMPANY",317150,0,0,0,0
"GRACE PETROLEUM OPERATING, LLC",319765,37930,0,0,0
"GRAVITY WATER MIDSTREAM OP LLC",326423,0,0,0,0
"GREAT WESTERN DRILLING COMPANY",328780,0,0,79572,0
"GREENLAKE ENERGY OPERATING, LLC",331448,3444064,6523725,24948284,4038797
"GRIZZLY OP OF DELAWARE, LLC",334922,0,0,0,0
