"Search Criteria:"

"Initial View: County"
"Well Type: Both"
"County Name: HOWARD"
"Date Range: Jan 2020 - Mar 2026"

"Field Name","Field No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
WILDCAT,00018001,0,0,0,0
"ACKERLY (DEAN SAND)",00448200,24573,1422,0,0
"ACKERLY, E. (PENN.)",00449500,30109,1962,0,0
"ALFALFA (FUSSELMAN)",01434200,0,0,0,0
"B.C. (CANYON)",04690300,58725,167204,0,0
"B.C. (DEAN)",04690310,2536,4281,0,0
"BIG SPRING (CANYON LIME)",08044200,0,0,0,0
"BIG SPRING (FUSSELMAN)",08044400,74052,111286,0,0
"BIG SPRING (MISSISSIPPIAN)",08044530,6559,22315,13400,0
"BIG SPRING (STRAWN)",08044600,213,31,0,0
"BIG SPRING, NW. (WOLFCAMP)",08046500,0,0,0,0
"BIG SPRING, W. (PENN)",08047300,103,0,0,0
"BUCKWHEAT (SILURO-DEVONIAN)",12978600,31719,997,0,0
"BUZZARD DRAW (FUSSELMAN)",14092500,0,0,0,0
"C. C. GUNN (CANYON REEF)",14215250,0,0,0,0
"CEDAR FLATS (MISS.)",16559500,1570,50197,0,0
"CHANEY (CLEARFORK)",16912250,0,0,0,0
"CHINA BEACH (PENN REEF)",17810275,0,0,0,0
"COAHOMA (MISS)",19111400,3770,11777,0,0
"COAHOMA (WICHITA-ALBANY)",19111500,0,0,0,0
"COAHOMA (WOLFCAMP)",19111600,1498,0,0,0
"COAHOMA (WOLFCAMP OIL )",19111605,0,0,0,0
"COAHOMA, N. (CLEAR FORK)",19113250,557,1101,0,0
"COAHOMA, N. (FUSSEL)",19113750,11047,56828,0,0
"CORONET (2900)",20704750,25109,0,0,0
"COYOTE VALLEY (CISCO)",21418075,1240,101,0,0
"CRACKER JACK (FUSSELMAN)",21441500,0,0,0,0
"DARLA (FUSSELMAN)",23128200,0,0,0,0
"DEADWOOD (FUSSELMAN)",23736500,682,2627,0,0
"DORLAND (FUSSELMAN)",25460300,0,0,0,0
"DORLAND (WOLFCAMP)",25460600,0,0,0,0
"DOUBLE ""B"" (CANYON)",25648150,0,0,0,0
"ELBOW,SE. (FSLM.)",28274001,0,0,0,0
"ELBOW,S.E.(STRAWN)",28274200,961,11966,0,0
"ELBOW, SE. (WOLFCAMP)",28274500,0,0,0,0
"EMMA (BARNETT SHALE)",28899040,6735,32803,0,0
"ERNIE PINNELL (FUSSELMAN)",29248200,0,0,0,0
"EXCALIBUR (PENN-REEF)",29779300,196,859,0,0
"FLORAC (STRAWN)",31498500,5617,52353,0,0
"FLORAC (WOLFCAMP)",31498700,5840,32942,0,0
"FRYSAK FARMS (DEVONIAN)",33154200,0,0,0,0
"GARDEN CITY, NW (STRAWN)",33997700,4417,52573,0,0
"GARDEN CITY, S. (WOLFCAMP)",33998500,206896,601578,0,0
"GRIFFIN (PENN REEF)",36983200,0,0,0,0
"HILL RANCH (FUSSELMAN)",41462400,0,0,0,0
"HILL RANCH (MISS)",41462666,0,77,0,0
"HOBO, SOUTH (CANYON REEF)",41821500,0,0,0,0
"HOWARD GLASSCOCK",42971001,0,0,0,0
"HOWARD GLASSCOCK (CLEAR FORK,MI)",42971166,0,0,0,0
"HOWARD GLASSCOCK (CONSOLIDATED)",42971200,8418503,750308,0,0
"HOWARD-GLASSCOCK (WOLFCAMP 7400)",42971664,22561,255086,121273,1729
"HUTTO, SOUTH (WOLFCAMP)",43926600,19534,116913,0,0
"IATAN (SAN ANDRES)",44147500,25333,0,0,0
"IATAN, EAST HOWARD",44148500,2454419,74160,0,0
"IATAN, NORTH",44149001,31531,0,0,0
"ISAAC (PENN. UPPER)",44790500,220,344,0,0
"J. L. M. (MISSISSIPPIAN)",45073500,1648,4360,0,0
"JAILHOUSE (FUSSELMAN)",45484200,47268,43477,0,0
"K-JACK (FUSSELMAN)",47836220,22611,0,0,0
"KNOTT (PENNSYLVANIAN)",49938333,0,0,0,0
"KNOTT, SW. (FUSSELMAN)",49944400,49,0,0,0
"KNOTT, SW. (PENN)",49944600,0,0,0,0
"KNOTT, WEST (PENN REEF)",49945500,19264,29177,0,0
"KNOTT, WEST (SPRABERRY)",49945800,0,0,0,0
"KORMAN (CANYON REEF)",50237300,22106,0,0,0
"LOU ANN (FUSSELMAN)",55075200,0,0,0,0
"LUTHER, E. (CANYON REEF)",55816333,0,0,0,0
"LUTHER, SE. (PENN CANYON)",55822350,0,0,0,0
"LUTHER, SE. (SILURIAN-DEVONIAN)",55822500,713826,232407,0,0
"MER-MAX (MISS)",60530500,0,0,246637,2826
"MIDDLETON (CANYON REEF)",61046250,8683,1,0,0
"MODESTA, N (PENN REEF, N)",62312750,0,0,0,0
MOORE,62711001,161026,142,0,0
"MOORE (DEEP FSLM)",62711300,57980,0,0,0
"MOORE (MISS)",62711400,13915,44405,0,0
"MOORE (STRAWN 9500)",62711600,0,0,0,0
"MOORE (WOLFCAMP)",62711700,0,0,0,0
"MORGAN CREEK (LEONARD)",62869500,727,0,0,0
"MORGAN RANCH (LEONARD)",62874400,1754,5,0,0
"OCEANIC (PENNSYLVANIAN)",66669500,17309,2560,0,0
"PACIENCEA (PENN-REEF)",68281300,0,0,0,0
"PARALLEL-WOLFE (FUSSELMAN)",69094400,0,0,0,0
"PATIENCE (FUSSELMAN)",69541175,32103,4409,0,0
"PATIENCE (PENN-REEF)",69541300,350,587,0,0
"PETEY (FUSSELMAN)",70877200,65405,662205,0,0
"PETTY 48 (UPPER STRAWN)",71021430,125,0,0,0
"RK (DEVONIAN)",74041100,0,0,0,0
"RAMAN (FUSSELMAN)",74386300,8028,16113,0,0
