"Search Criteria: "

"Initial View: County"
"Well Type: Both"
"County Name: HOWARD"
"Date Range: Jan 2020 - Mar 2026"

Date,"Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
" Jan 2020",9309200,14903625,13723,237
" Feb 2020",8038069,13677915,13032,189
" Mar 2020",8426320,14945054,13331,200
" Apr 2020",7878740,14865136,12942,221
" May 2020",6701646,13582944,13614,142
" Jun 2020",7767714,14688301,12627,150
" Jul 2020",8498911,16320170,13232,168
" Aug 2020",8283232,16910732,11118,188
" Sep 2020",7989757,16729916,12049,171
" Oct 2020",7941869,17112061,12962,223
" Nov 2020",7610778,16382470,12686,261
" Dec 2020",8471095,17139784,14768,231
" Jan 2021",9386355,17660720,15419,179
" Feb 2021",6229123,11974327,14490,157
" Mar 2021",9569434,18338047,17187,212
" Apr 2021",8865292,18454513,15460,195
" May 2021",9496145,19524665,15197,149
" Jun 2021",9180565,19262996,15484,100
" Jul 2021",9632840,20789760,16675,89
" Aug 2021",10091383,21131273,16273,135
" Sep 2021",9459103,20528227,14498,146
" Oct 2021",9671217,21451452,15875,122
" Nov 2021",9641519,21064373,15789,176
" Dec 2021",10340459,22512520,16634,164
" Jan 2022",9642337,21994305,16523,154
" Feb 2022",8675806,20229872,14799,177
" Mar 2022",10088793,22782841,12634,180
" Apr 2022",10441394,23529929,15205,173
" May 2022",10595780,24269002,14145,150
" Jun 2022",9795925,23482962,11778,160
" Jul 2022",10657401,25250136,12919,116
" Aug 2022",10904783,25571722,12403,89
" Sep 2022",11354144,25500325,9943,107
" Oct 2022",12300917,27000155,7490,41
" Nov 2022",12392488,27515364,10010,52
" Dec 2022",12585456,28776748,9985,81
" Jan 2023",12092753,29325391,8817,63
" Feb 2023",10218392,25882318,10125,322
" Mar 2023",11535518,28714773,10960,146
" Apr 2023",11399888,28236658,18435,187
" May 2023",11774621,29450436,15567,141
" Jun 2023",12333583,30485579,11215,84
" Jul 2023",13139440,32667704,14993,106
" Aug 2023",12774249,33812505,12789,158
" Sep 2023",11845205,32467217,13365,100
" Oct 2023",11843163,33045066,13747,288
" Nov 2023",11275352,32496740,12578,89
" Dec 2023",11079371,33354453,10877,99
" Jan 2024",10396269,32343184,9530,113
" Feb 2024",9757069,31229135,11494,163
" Mar 2024",9589017,33261261,11554,96
" Apr 2024",9304251,32502286,11106,267
" May 2024",9842979,33426488,9395,111
" Jun 2024",9575744,32652020,9223,81
" Jul 2024",9717113,34089676,11740,51
" Aug 2024",9420324,34201350,8730,68
" Sep 2024",8817326,32692624,10173,110
" Oct 2024",9133152,33178168,11004,95
" Nov 2024",9088678,32302567,9883,72
" Dec 2024",9938567,34885835,10390,71
" Jan 2025",9573505,34637029,10129,98
" Feb 2025",8138326,31688319,9811,119
" Mar 2025",8542784,34741576,12460,79
" Apr 2025",7987594,33954233,8227,36
" May 2025",8336614,35870249,8562,97
" Jun 2025",8605736,36158191,15272,54
" Jul 2025",8711360,38346246,16691,59
" Aug 2025",8061164,36296759,9554,40
" Sep 2025",7666745,35528559,86146,462
" Oct 2025",7975078,36438999,99749,378
" Nov 2025",7535264,35611435,98959,425
" Dec 2025",7459129,36251692,103776,328
" Jan 2026",6859057,35046640,99118,533
" Feb 2026",6125961,31955848,81239,652
" Mar 2026",6483913,35478646,81291,349
Total,711870244,2010562197,1511573,12475
