"Search Criteria:"

"Initial View: County"
"Well Type: Both"
"County Name: HOWARD"
"Date Range: Jan 2020 - Mar 2026"

"Operator Name","Operator No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"14START LLC",101470,3729,0,0,0
"ADVANCE HYDROCARBON CORPORATION",008484,0,0,0,0
"AGUA LIBRE MIDSTREAM LLC",008742,0,0,0,0
"ALON USA, LP",015098,0,0,0,0
"AMERICO ENERGY RESOURCES, LLC",019752,136231,0,0,0
"APACHE CORPORATION",027200,6761756,21258931,0,0
"APEX RESOURCES LLC",101369,8137,0,0,0
"APV MCCAMEY LLC",028617,268,0,0,0
"AQUA TERRA PERMIAN, LLC",028618,0,0,0,0
"ARKLAND PRODUCING CO., INC.",030791,1996,0,0,0
"ARYA RESOURCES, LLC",033842,58876,130878,0,0
"ATROPOS PRODUCTION CORPORATION",036617,0,0,0,0
"AUTUMN ENERGY OPERATING",037871,17248,84050,13808,9
"BAM PERMIAN OPERATING, LLC",048351,6190,19773,0,0
"BASA RESOURCES, INC.",053974,1071451,0,0,0
"BASIC ENERGY SERVICES, L.P.",054313,0,0,0,0
"BAYLOR OPERATING, LLC",058832,745,0,0,0
"BAYSWATER OPERATING COMPANY LLC",058827,20647734,40468647,0,0
"BCE-MACH III LLC",040209,69076,0,0,0
"BCP RESOURCES, LLC",040206,4879,0,0,0
"BETTIS, BOYLE & STOVALL",068360,8493,8146,0,0
"BILLS, L. T.",070882,0,0,0,0
"BIRCH OPERATIONS, INC.",071331,64075401,258622387,0,0
"BOYD & MCWILLIAMS ENERGY GROUP",084545,7937,0,0,0
"BREAKWATER ENERGY PARTNERS, LLC",089991,0,0,0,0
"BREAKWATER MIDSTREAM, LLC",089993,0,0,0,0
"BREITBURN OPERATING L.P.",090732,6676,11356,0,0
"BYRD OPERATING COMPANY",118748,5617,52353,0,0
"CALLON PETROLEUM OPERATING CO",124828,24002621,54326071,0,0
"CAMBRIAN MANAGEMENT, LTD.",126758,18333,56674,0,0
"CHEVRON U. S. A. INC.",148113,12924621,20344427,0,0
"CHOLLA PETROLEUM, INC.",150683,602,18395,0,0
"CINNABAR OPERATING, LLC",153510,15737,26620,0,0
"CIRCLE H OIL COMPANY",153656,10841,0,0,0
"CITATION OIL & GAS CORP.",154235,4190325,870098,121273,1729
"CIVITAS PERMIAN OPERATING, LLC",101577,83034,469854,0,0
"CLEAR WATER INC.",159643,55673,293899,0,0
"COG OPERATING LLC",166150,1170,1143,0,0
"CONOCOPHILLIPS COMPANY",172232,0,0,0,0
"COOPER OIL & GAS, LLC",175118,552,0,0,0
"COPPER RIDGE RESOURCES LLC",177030,0,0,0,0
"CRESCENT ENERGY OPERATING, LLC",103575,1359494,7267106,0,0
"CROSS CUT PETROLEUM, LLC",102975,165,0,0,0
"CROSSTEX SERVICES, L.L.C.",190661,0,0,0,0
"CROWNQUEST OPERATING, LLC",191554,51094583,157695955,0,0
"DE IV OPERATING, LLC",100168,449850,444844,0,0
"DE3 OPERATING LLC",518310,4202,6884,0,0
"DEEP BLUE OPERATING I LLC",101491,0,0,0,0
"DESERT PRODUCTION, INC.",216556,7846,0,0,0
"DIAMONDBACK E&P LLC",217012,37332019,155094807,0,0
"DISCOVERY OPERATING, INC.",220865,16584,1244,0,0
"DKL WATER GATHERING PERMIAN, LLC",102572,0,0,0,0
"DOUBLE BARREL OIL LLC",224791,156,0,0,0
"DOUBLE C SOLUTIONS, LLC",224827,0,0,0,0
"DUNCAN DRILLING CO.",232050,995,0,0,0
"EARNEST PRODUCING CORPORATION",238708,0,0,0,0
"ECOSERV PERMIAN, LLC",241415,0,0,0,0
"ENCANA OIL & GAS(USA) INC.",251691,442355,939615,0,0
"ENDEAVOR ENERGY RESOURCES L.P.",251726,12195563,35980645,0,0
"ENERGY TRANSFER COMPANY",252017,0,0,0,0
"ENVIRONMENTAL DISPOSAL SYSTEMS",253112,0,0,0,0
"ENVIRONMENTAL DSPL SYSTEMS, LLC",253105,0,0,0,0
"ESCONDIDO BAY CORPORATION",101072,63,0,0,0
"EVEREST ENERGY LLC",256477,1395,0,0,0
"EXCEL ENERGY CO.",256873,67558,0,0,0
"EXTEX OPERATING COMPANY",257062,292919,67460,0,0
"FDL OPERATING, LLC",263924,495129,0,0,0
"FINLEY RESOURCES, INC.",268602,0,0,0,0
"FIRST RIVER MIDSTREAM, LLC",269021,0,0,0,0
"FLAT TOP OPERATING, LLC",100526,28035,25813,0,0
"FOUNDATION ENERGY MANAGEMENT LLC",280875,81687,0,0,0
"FOUNDERS SWD, LLC",280465,0,0,0,0
"FREE REIN OPERATING LLC",285002,53669,0,0,0
"GALLO PETROLEUM, LLC",293275,4351,0,0,0
"GIDEON OPERATING, LLC",102416,0,0,0,0
"GNG OPERATING LLC",311427,1050,0,0,0
"GOLDEN SPECIALTIES OIL & GAS",313070,294,0,0,0
"GRAVITY WATER MIDSTREAM OP LLC",326423,0,0,0,0
"GRAYROCK ENERGY II, LLC",101718,771596,943,0,0
"GRENADIER ENERGY PARTNERS II,LLC",332472,2488021,2915614,3445,0
