"Search Criteria: "

"Initial View: County"
"Well Type: Both"
"County Name: MARTIN"
"Date Range: Jan 2020 - Mar 2026"

Date,"Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
" Jan 2020",13661490,24444061,662,12
" Feb 2020",12450042,21433524,620,0
" Mar 2020",14118060,25295377,664,0
" Apr 2020",12664713,23805592,625,0
" May 2020",11356738,22031715,356,0
" Jun 2020",12160641,23638967,384,0
" Jul 2020",11729627,24999548,665,3
" Aug 2020",11118480,24939994,467,0
" Sep 2020",11316840,24798453,327,6
" Oct 2020",12164102,26485012,634,8
" Nov 2020",11685565,25935967,621,6
" Dec 2020",11699115,26028528,615,0
" Jan 2021",11365243,25351801,0,7
" Feb 2021",8474152,17258686,8,4
" Mar 2021",12944576,25097204,24,8
" Apr 2021",13521428,26797534,0,0
" May 2021",14835533,29409230,274,0
" Jun 2021",14060725,28330856,535,15
" Jul 2021",14843030,30177514,587,11
" Aug 2021",15209177,31719342,218,4
" Sep 2021",15371377,31429217,259,3
" Oct 2021",16123763,33390348,181,0
" Nov 2021",14707713,31863343,237,0
" Dec 2021",15021616,33834728,235,1
" Jan 2022",15302893,34062377,310,0
" Feb 2022",14226506,31674083,566,1
" Mar 2022",15370618,35691419,525,24
" Apr 2022",14302483,34710183,461,6
" May 2022",14595004,35777787,463,7
" Jun 2022",14929105,35488903,412,4
" Jul 2022",15828079,37344069,418,5
" Aug 2022",16254792,37883429,484,6
" Sep 2022",16451173,37775405,423,6
" Oct 2022",17096459,39472528,472,6
" Nov 2022",17267460,39523273,437,9
" Dec 2022",17754241,41246449,643,8
" Jan 2023",17058546,40823440,609,3
" Feb 2023",15545800,37410544,501,10
" Mar 2023",17569546,43826795,386,5
" Apr 2023",17262852,43082119,446,11
" May 2023",17788055,44662231,1165,9
" Jun 2023",17227323,43916400,978,9
" Jul 2023",18165479,45050408,772,5
" Aug 2023",19350616,47422960,641,0
" Sep 2023",19452297,46680098,533,0
" Oct 2023",20815810,49046853,540,2
" Nov 2023",21004227,49586774,689,0
" Dec 2023",20859762,50957075,638,4
" Jan 2024",19538706,48192338,455,2
" Feb 2024",19453100,46465117,502,0
" Mar 2024",21766257,53266097,670,9
" Apr 2024",21325733,52929433,991,12
" May 2024",21953749,54734550,971,14
" Jun 2024",20870570,55107807,119464,91203
" Jul 2024",21291654,57847397,292475,103199
" Aug 2024",21998220,58975041,684897,149228
" Sep 2024",20827813,56615347,959658,162372
" Oct 2024",21085431,58167319,717840,115848
" Nov 2024",20177703,56655105,565631,87578
" Dec 2024",20613562,58725782,502529,73057
" Jan 2025",20633210,58181078,429601,54880
" Feb 2025",19420426,53671888,380869,44428
" Mar 2025",21795103,60482109,438095,41993
" Apr 2025",21805441,60402618,369585,37486
" May 2025",21995936,64082152,367142,36168
" Jun 2025",21327817,62550998,341710,36050
" Jul 2025",21352272,63753084,334742,34304
" Aug 2025",21410305,63925298,317131,31715
" Sep 2025",21239134,62642188,280739,26781
" Oct 2025",22308301,64518813,275353,25193
" Nov 2025",22225681,64572206,248234,23276
" Dec 2025",22813668,66920503,243310,23740
" Jan 2026",21592214,63076213,223224,23725
" Feb 2026",20424190,60524343,185847,19777
" Mar 2026",21970778,69282073,210994,20824
Total,1297299846,3217879040,8515369,1263090
