"Search Criteria:"

"Initial View: County"
"Well Type: Both"
"County Name: REEVES"
"Date Range: Jan 2020 - Mar 2026"

"Field Name","Field No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
WILDCAT,00018001,0,0,0,0
"ALPINE HIGH (CONS)",01942500,0,0,677499372,2151012
"AMBLER (DELAWARE 4335)",02285500,0,0,0,0
"ARNO (DELAWARE SAND)",03748500,0,0,0,0
"ARNO, N. (DELAWARE)",03750300,0,0,0,0
"ATHENS (DEVONIAN)",04223300,0,0,0,0
AYLESWORTH,04591001,0,0,0,0
"AYLESWORTH (CHERRY CANYON)",04591250,0,0,0,0
"BALMOREA (WOLFCAMP)",05346500,0,0,17624,6674
"BALMORHEA RANCH (BELL CANYON L)",05348050,8,0,0,0
"BALMORHEA RANCH (CHERRY CANYON)",05348200,0,0,0,0
"BARSTOW (WOLFCAMP)",05889710,0,0,0,0
"BLOCK 72 (PENN.)",09563500,0,0,69106,0
"BROOKES BRITTANY (DELAWARE)",12194080,664,0,0,0
"BRUSHY DRAW (CHERRY CANYON)",12660500,1762,0,0,0
"BUSH (PERMIAN)",13964500,0,0,1001078,5351
"CABLE (DELAWARE)",14467300,41211,18293,0,0
CHAPMAN,17029001,17174,0,0,0
"CHAPMAN, DEEP (ATOKA)",17030180,0,0,825,0
"CHAPMAN, DEEP (FUSSELMAN)",17030400,0,0,0,0
"CHAPMAN, DEEP (WOLFCAMP)",17030500,0,0,0,0
"CHAPMAN, N. E. (BELL CANYON)",17032500,127,0,0,0
"CHAPMAN, S. (OLDS)",17033500,7248,0,0,0
"CHAPMAN, S. (WOLFCAMP)",17033700,0,0,6,0
"COLLIE (DELAWARE)",19665200,978211,2804221,0,0
DIXIELAND,25020001,0,0,0,0
"DIXIELAND (ATOKA, U.)",25020250,0,0,9575697,1
"DONAHOO (CASTILE)",25295500,0,0,0,0
"E. C. F. (DELAWARE)",26934500,0,0,0,0
"FARWELL (BRUSHY CANYON 6600)",30339150,0,0,0,0
